m,r_multiplier,acc_5fold,std_5fold,acc_lopo,std_lopo
1,0.1,0.4777,0.0492,0.4899,0.0835
1,0.15,0.5127,0.0382,0.4735,0.0973
1,0.2,0.5387,0.0652,0.4653,0.0938
1,0.25,0.545,0.0468,0.5123,0.0934
1,0.3,0.5258,0.06,0.4523,0.0902
2,0.1,0.5159,0.0525,0.5221,0.0917
2,0.15,0.4968,0.0208,0.463,0.0734
2,0.2,0.529,0.0339,0.4828,0.0863
2,0.25,0.5383,0.0377,0.5364,0.1222
2,0.3,0.5384,0.0376,0.5019,0.0958
3,0.1,0.5866,0.0682,0.455,0.1401
3,0.15,0.4808,0.0431,0.4898,0.1043
3,0.2,0.5416,0.0846,0.4354,0.0824
3,0.25,0.5673,0.06,0.4846,0.0612
3,0.3,0.5097,0.0437,0.4388,0.0664
