wavelet,level,acc_5fold,std_5fold,acc_lopo,std_lopo
db2,3,0.9,0.0571,0.8232,0.1096
db2,4,0.9214,0.0143,0.7851,0.089
db2,5,0.9214,0.0267,0.8199,0.0954
db2,6,0.9214,0.0416,0.7764,0.1082
db4,3,0.9071,0.0364,0.8075,0.0892
db4,4,0.9214,0.0416,0.8028,0.0836
db4,5,0.9214,0.0571,0.8314,0.0958
db4,6,0.9357,0.035,0.8082,0.0467
db6,3,0.9357,0.0416,0.8027,0.0945
db6,4,0.9286,0.0505,0.8124,0.0982
db6,5,0.9214,0.0416,0.8441,0.0826
db6,6,0.9357,0.0267,0.8624,0.106
db8,3,0.9286,0.0391,0.8222,0.0709
db8,4,0.9214,0.0571,0.8262,0.0969
db8,5,0.9286,0.0452,0.8233,0.1067
db8,6,0.9143,0.0364,0.8752,0.0446
sym2,3,0.9,0.0571,0.8232,0.1096
sym2,4,0.9214,0.0143,0.7851,0.089
sym2,5,0.9214,0.0267,0.8199,0.0954
sym2,6,0.9214,0.0416,0.7764,0.1082
sym4,3,0.9143,0.0364,0.7989,0.0743
sym4,4,0.9286,0.0319,0.7989,0.0743
sym4,5,0.9143,0.0484,0.8112,0.0622
sym4,6,0.9,0.0267,0.7738,0.0999
sym6,3,0.9286,0.0226,0.7813,0.0812
sym6,4,0.9357,0.0267,0.7871,0.0968
sym6,5,0.9143,0.0484,0.8066,0.1084
sym6,6,0.9071,0.0364,0.7928,0.0573
coif1,3,0.9071,0.0364,0.8012,0.0551
coif1,4,0.9,0.035,0.8089,0.0675
coif1,5,0.8857,0.0728,0.7601,0.03
coif1,6,0.8714,0.058,0.8121,0.0576
coif3,3,0.9286,0.0505,0.7556,0.0862
coif3,4,0.9214,0.0525,0.7841,0.0814
coif3,5,0.9286,0.0452,0.7728,0.096
coif3,6,0.9286,0.0226,0.7981,0.0449
