m,r_multiplier,n,acc_5fold,std_5fold,acc_lopo,std_lopo
1,0.1,1,0.4929,0.0915,0.3179,0.1033
1,0.1,2,0.7357,0.0535,0.7288,0.0825
1,0.1,3,0.8,0.07,0.7379,0.1037
1,0.2,1,0.4857,0.0429,0.2964,0.1178
1,0.2,2,0.7357,0.0535,0.7288,0.0825
1,0.2,3,0.8,0.07,0.7379,0.1037
1,0.3,1,0.4786,0.0286,0.2711,0.0532
1,0.3,2,0.7357,0.0535,0.7288,0.0825
1,0.3,3,0.8,0.07,0.716,0.1104
2,0.1,1,0.5643,0.0614,0.4893,0.0726
2,0.1,2,0.7429,0.0693,0.7144,0.0784
2,0.1,3,0.8071,0.0484,0.7446,0.1063
2,0.2,1,0.4786,0.0484,0.4449,0.1423
2,0.2,2,0.7429,0.0693,0.7144,0.0784
2,0.2,3,0.8071,0.0484,0.7446,0.1063
2,0.3,1,0.4571,0.0915,0.3306,0.0966
2,0.3,2,0.7429,0.0693,0.7144,0.0784
2,0.3,3,0.8071,0.0484,0.7446,0.1063
3,0.1,1,0.5571,0.0535,0.5056,0.0565
3,0.1,2,0.8071,0.0535,0.7583,0.0998
3,0.1,3,0.8143,0.0655,0.7455,0.0831
3,0.2,1,0.5214,0.0974,0.4343,0.1147
3,0.2,2,0.8071,0.0535,0.7583,0.0998
3,0.2,3,0.8143,0.0655,0.7455,0.0831
3,0.3,1,0.5071,0.0763,0.4663,0.1126
3,0.3,2,0.8071,0.0535,0.7583,0.0998
3,0.3,3,0.8214,0.0452,0.7532,0.0964
