method,min_window,acc_5fold,std_5fold,acc_lopo,std_lopo
rescaled_range,4,0.7643,0.0364,0.7143,0.1287
rescaled_range,8,0.7571,0.0474,0.7024,0.1313
rescaled_range,16,0.7357,0.0364,0.7381,0.1287
rescaled_range,32,0.7286,0.0364,0.6947,0.1276
dfa,4,0.6357,0.0728,0.451,0.1224
dfa,8,0.6357,0.0728,0.451,0.1224
dfa,16,0.6357,0.0728,0.451,0.1224
dfa,32,0.6357,0.0728,0.451,0.1224
wavelet,4,0.6429,0.0553,0.5818,0.1448
wavelet,8,0.6429,0.0553,0.5818,0.1448
wavelet,16,0.6429,0.0553,0.5818,0.1448
wavelet,32,0.5214,0.0735,0.4012,0.1457
