order,delay,acc_5fold,std_5fold,acc_lopo,std_lopo
3,1,0.5836,0.0616,0.4644,0.1484
3,2,0.5737,0.0373,0.5039,0.1578
3,3,0.577,0.0546,0.5568,0.1176
3,4,0.5547,0.0675,0.5247,0.1423
3,5,0.5931,0.0412,0.4806,0.1096
4,1,0.5835,0.0663,0.4837,0.149
4,2,0.5932,0.0431,0.4963,0.1699
4,3,0.5961,0.0627,0.5092,0.1196
4,4,0.5706,0.0563,0.504,0.0916
4,5,0.5802,0.0608,0.5377,0.1418
5,1,0.5963,0.0733,0.5145,0.1231
5,2,0.5803,0.0592,0.519,0.1871
5,3,0.5866,0.0225,0.5013,0.1387
5,4,0.5449,0.0523,0.5027,0.1052
5,5,0.5897,0.0511,0.523,0.1147
6,1,0.6091,0.0642,0.5371,0.0906
6,2,0.5995,0.0613,0.556,0.1656
6,3,0.5864,0.0616,0.5772,0.1618
6,4,0.5417,0.0542,0.4803,0.1139
6,5,0.6251,0.0642,0.5652,0.1936
7,1,0.606,0.0502,0.5809,0.0972
7,2,0.5547,0.0381,0.5016,0.1535
7,3,0.5672,0.0455,0.5058,0.142
7,4,0.5389,0.0918,0.4945,0.1002
7,5,0.5608,0.0852,0.4969,0.1415
