window,nperseg,overlap_ratio,acc_5fold,std_5fold,acc_lopo,std_lopo
hamming,64,0.25,0.9214,0.0267,0.7986,0.0346
hamming,64,0.5,0.9214,0.0143,0.8132,0.0627
hamming,64,0.75,0.9286,0.0226,0.7885,0.0603
hamming,128,0.25,0.9071,0.0484,0.7723,0.0444
hamming,128,0.5,0.8929,0.0391,0.7953,0.0203
hamming,128,0.75,0.8857,0.035,0.8214,0.0752
hamming,256,0.25,0.9286,0.0814,0.8,0.061
hamming,256,0.5,0.8929,0.0553,0.8389,0.052
hamming,256,0.75,0.9357,0.0693,0.7562,0.0323
hamming,512,0.25,0.8929,0.0598,0.7523,0.0605
hamming,512,0.5,0.9143,0.0484,0.7795,0.0336
hamming,512,0.75,0.9143,0.0735,0.7909,0.0434
hanning,64,0.25,0.8527,0.0404,0.768,0.1573
hanning,64,0.5,0.8336,0.0361,0.7989,0.1664
hanning,64,0.75,0.8304,0.0503,0.7846,0.1614
hanning,128,0.25,0.8752,0.0366,0.8265,0.1439
hanning,128,0.5,0.8496,0.0475,0.799,0.1827
hanning,128,0.75,0.8687,0.0423,0.7906,0.1629
hanning,256,0.25,0.8526,0.048,0.7695,0.152
hanning,256,0.5,0.8847,0.0326,0.817,0.1531
hanning,256,0.75,0.8527,0.0429,0.8136,0.1389
hanning,512,0.25,0.8689,0.047,0.809,0.1325
hanning,512,0.5,0.8368,0.0314,0.7801,0.1598
hanning,512,0.75,0.8494,0.0313,0.7905,0.1284
blackman,64,0.25,0.9429,0.0286,0.7704,0.0258
blackman,64,0.5,0.8929,0.0226,0.8175,0.0667
blackman,64,0.75,0.8857,0.0267,0.7758,0.0439
blackman,128,0.25,0.8786,0.0535,0.8026,0.0318
blackman,128,0.5,0.8929,0.0391,0.7504,0.0635
blackman,128,0.75,0.8714,0.0484,0.7928,0.0573
blackman,256,0.25,0.9214,0.0655,0.7914,0.0358
blackman,256,0.5,0.9143,0.0364,0.7514,0.0292
blackman,256,0.75,0.9143,0.0735,0.7745,0.0451
blackman,512,0.25,0.9214,0.0416,0.8122,0.055
blackman,512,0.5,0.9357,0.0525,0.8111,0.0296
blackman,512,0.75,0.9286,0.0639,0.7747,0.0373
rectangular,64,0.25,0.8786,0.0175,0.7415,0.1184
rectangular,64,0.5,0.8714,0.0364,0.753,0.1213
rectangular,64,0.75,0.8643,0.0525,0.7334,0.1233
rectangular,128,0.25,0.8786,0.0364,0.7183,0.1285
rectangular,128,0.5,0.8643,0.0614,0.719,0.0961
rectangular,128,0.75,0.8714,0.0484,0.7737,0.1337
rectangular,256,0.25,0.9357,0.035,0.7595,0.084
rectangular,256,0.5,0.8929,0.0639,0.8173,0.0836
rectangular,256,0.75,0.9,0.0416,0.7862,0.0616
rectangular,512,0.25,0.9214,0.0416,0.8647,0.073
rectangular,512,0.5,0.8929,0.0391,0.8048,0.0656
rectangular,512,0.75,0.9143,0.0662,0.8435,0.0663
