m,r_multiplier,acc_5fold,std_5fold,acc_lopo,std_lopo
1,0.1,0.5214,0.0484,0.5399,0.0967
1,0.15,0.5429,0.0693,0.4226,0.1281
1,0.2,0.4929,0.0728,0.3584,0.1136
1,0.25,0.4143,0.0364,0.3733,0.1214
1,0.3,0.3929,0.0505,0.2859,0.0728
2,0.1,0.6071,0.0814,0.5729,0.1029
2,0.15,0.5357,0.0678,0.4847,0.1913
2,0.2,0.55,0.0892,0.4767,0.13
2,0.25,0.5214,0.0364,0.5148,0.1023
2,0.3,0.5143,0.0769,0.4808,0.0746
3,0.1,0.6286,0.0484,0.552,0.1091
3,0.15,0.6714,0.0525,0.6098,0.0332
3,0.2,0.6,0.0267,0.526,0.0827
3,0.25,0.5,0.0904,0.5243,0.1628
3,0.3,0.4643,0.0814,0.4442,0.1451
