feature,cv,n_combos,best_acc,worst_acc,mean_acc,acc_range
psd,5fold,48,0.9429,0.5,0.8025,0.4429
psd,lopo,48,0.8647,0.5,0.7135,0.3647
hurst,5fold,12,0.7643,0.5214,0.6649,0.2429
hurst,lopo,12,0.7381,0.4012,0.5667,0.3369
fuzzen,5fold,27,0.8214,0.4571,0.6915,0.3643
fuzzen,lopo,27,0.7583,0.2711,0.6234,0.4872
sampen,5fold,15,0.6714,0.3929,0.5305,0.2785
sampen,lopo,15,0.6098,0.2859,0.4778,0.3239
dwt,5fold,36,0.9357,0.8714,0.9178,0.0643
dwt,lopo,36,0.8752,0.7556,0.8048,0.1196
hjorth,5fold,6,0.9,0.8643,0.8821,0.0357
hjorth,lopo,6,0.7853,0.7169,0.748,0.0684
