m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,0.8666666666666668,0.851635223329866,0.8672914467867427,0.05270462766947297
1.0,0.15,0.8866666666666667,0.8711354252027859,0.8859328352156318,0.024494897427831775
1.0,0.2,0.8800000000000001,0.862451561942723,0.8787529552674858,0.02449489742783177
1.0,0.25,0.85,0.8307331822948105,0.8497423745673782,0.0408248290463863
1.0,0.3,0.8299999999999998,0.8095437060765083,0.8297947258708576,0.026666666666666655
2.0,0.1,0.9166666666666666,0.9064892228070522,0.9167461154024462,0.027888667551135834
2.0,0.15,0.8766666666666667,0.8625593134594581,0.8770325067516108,0.027080128015453203
2.0,0.2,0.9066666666666666,0.8932037715371048,0.9058101569212681,0.022607766610417544
2.0,0.25,0.9333333333333333,0.9240904122890115,0.932909858826348,0.043461349368017634
2.0,0.3,0.9366666666666665,0.9290470570637771,0.9366777522334168,0.028674417556808735
3.0,0.1,0.95,0.9436254194085519,0.949921837632681,0.025819888974716106
3.0,0.15,0.9266666666666667,0.9179506464405962,0.9268337204899822,0.034318767136623324
3.0,0.2,0.9233333333333332,0.9136404472644782,0.9232657762373526,0.034318767136623324
3.0,0.25,0.8433333333333334,0.8260669710017761,0.8442252725123296,0.016996731711975955
3.0,0.3,0.8466666666666667,0.8289635484334411,0.8472493249164987,0.053124591501697425
