m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,0.41600000000000004,0.41027936762928474,0.4102793676292847,0.02727636339397171
1.0,0.15,0.44000000000000006,0.43291014228922126,0.43291014228922126,0.0447213595499958
1.0,0.2,0.40599999999999997,0.3999640709437447,0.3999640709437447,0.04586937976471886
1.0,0.25,0.458,0.45012301855558656,0.45012301855558656,0.03187475490101845
1.0,0.3,0.48600000000000004,0.477270576385164,0.477270576385164,0.05276362383309168
2.0,0.1,0.368,0.35718684762633945,0.35718684762633945,0.02135415650406262
2.0,0.15,0.38599999999999995,0.37570565129403843,0.37570565129403843,0.03261901286060017
2.0,0.2,0.40199999999999997,0.3887025378004677,0.3887025378004677,0.04166533331199933
2.0,0.25,0.39,0.3819647440384554,0.3819647440384553,0.05291502622129182
2.0,0.3,0.36,0.3511900323212479,0.3511900323212479,0.024494897427831782
3.0,0.1,0.398,0.37773343842109786,0.3777334384210978,0.02785677655436824
3.0,0.15,0.40599999999999997,0.3927913188183273,0.3927913188183273,0.0185472369909914
3.0,0.2,0.414,0.4053568456386116,0.4053568456386116,0.04498888751680797
3.0,0.25,0.384,0.3715133296650368,0.3715133296650368,0.03382306905057552
3.0,0.3,0.39799999999999996,0.38790346708629025,0.38790346708629025,0.04489988864128729
