m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,0.34,0.33512806514514815,0.33512806514514815,0.035777087639996645
1.0,0.15,0.382,0.37336859901886116,0.37336859901886116,0.05635601121442148
1.0,0.2,0.38,0.3763968191512693,0.3763968191512693,0.0433589667773576
1.0,0.25,0.38,0.37490631246371386,0.37490631246371386,0.026076809620810583
1.0,0.3,0.45,0.44020681687249485,0.44020681687249485,0.060991802727907614
2.0,0.1,0.36,0.3488975740307657,0.3488975740307657,0.016733200530681513
2.0,0.15,0.38,0.3685142526172416,0.36851425261724163,0.03847076812334269
2.0,0.2,0.33399999999999996,0.32703736540047934,0.32703736540047934,0.05571355310873647
2.0,0.25,0.35400000000000004,0.3502332981481689,0.3502332981481689,0.051613951602255764
2.0,0.3,0.348,0.34158282496310044,0.34158282496310044,0.05418486873657627
3.0,0.1,0.36,0.34674464297492164,0.34674464297492164,0.04732863826479692
3.0,0.15,0.396,0.388563728938605,0.388563728938605,0.02576819745345025
3.0,0.2,0.366,0.3542649175895745,0.3542649175895745,0.042237424163885755
3.0,0.25,0.35600000000000004,0.3462827209704883,0.3462827209704882,0.032619012860600184
3.0,0.3,0.396,0.39072250884011706,0.3907225088401171,0.0463033476111609
