m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,0.414,0.40912861384546345,0.40912861384546345,0.03611094017053557
1.0,0.15,0.418,0.4115225739227514,0.4115225739227514,0.06462197768561405
1.0,0.2,0.40599999999999997,0.402491570319782,0.402491570319782,0.07418894796396565
1.0,0.25,0.46799999999999997,0.4645000279206922,0.4645000279206921,0.017204650534085247
1.0,0.3,0.4640000000000001,0.4516216075338523,0.4516216075338524,0.06529931086925805
2.0,0.1,0.354,0.34414108362628165,0.34414108362628165,0.020591260281974
2.0,0.15,0.398,0.39223428476696653,0.39223428476696653,0.01599999999999999
2.0,0.2,0.366,0.35261722934266326,0.3526172293426632,0.03136877428271624
2.0,0.25,0.358,0.3524506864923781,0.3524506864923781,0.07110555533852471
2.0,0.3,0.36999999999999994,0.3620469335199249,0.3620469335199249,0.031622776601683784
3.0,0.1,0.398,0.38126034157854216,0.38126034157854216,0.04707440918375927
3.0,0.15,0.42000000000000004,0.41024625611368026,0.4102462561136804,0.04049691346263317
3.0,0.2,0.364,0.3569462339091771,0.3569462339091771,0.04029888335921976
3.0,0.25,0.38,0.3661584930423982,0.3661584930423982,0.03033150177620619
3.0,0.3,0.39599999999999996,0.3843968162160357,0.3843968162160357,0.04882622246293482
