m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,0.706,0.6272270043295347,0.6901507163579633,0.051613951602255764
1.0,0.15,0.696,0.5809525362652523,0.6658271192991527,0.02870540018881462
1.0,0.2,0.712,0.6297300749618653,0.6959236728583676,0.0305941170815567
1.0,0.25,0.72,0.6449031856218486,0.7067590117523149,0.017888543819998333
1.0,0.3,0.752,0.6897510069993593,0.7433922363255532,0.030594117081556738
2.0,0.1,0.5780000000000001,0.5632411769145496,0.5778561897060972,0.033105890714493685
2.0,0.15,0.586,0.559100374343705,0.5851768924596011,0.03322649545167229
2.0,0.2,0.6100000000000001,0.5606620227018684,0.5972577340503764,0.026076809620810618
2.0,0.25,0.594,0.5253084716710827,0.5750079257162298,0.06406246951218784
2.0,0.3,0.654,0.566929236279327,0.6321539113740202,0.03136877428271625
3.0,0.1,0.524,0.5392305685487567,0.5152744790416707,0.02059126028197402
3.0,0.15,0.58,0.5443703572771502,0.575870691358843,0.04857983120596447
3.0,0.2,0.6180000000000001,0.5816232919735432,0.6152645752638242,0.04214261501141095
3.0,0.25,0.602,0.5590243251202909,0.5995917306598608,0.011661903789690611
3.0,0.3,0.632,0.5778315006505841,0.6203616614287721,0.044452221541785734
