m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,0.648,0.5688904717126132,0.6384299057438803,0.04874423042781577
1.0,0.15,0.6679999999999999,0.5772450408700687,0.6548418845063196,0.033704599092705415
1.0,0.2,0.6739999999999999,0.6018319216466353,0.6688373641815839,0.03440930106817049
1.0,0.25,0.664,0.5990281353098498,0.6630177744381847,0.030066592756745798
1.0,0.3,0.704,0.643361662193269,0.7009886851437417,0.032619012860600184
2.0,0.1,0.534,0.5204599096368987,0.5312283215611848,0.04758150901348125
2.0,0.15,0.558,0.5331865334830506,0.558192261232292,0.05075431016179807
2.0,0.2,0.608,0.5721329925593717,0.6022036895307602,0.027856776554368263
2.0,0.25,0.572,0.5228810920700047,0.5663825421151195,0.03867815921162742
2.0,0.3,0.602,0.516813737431588,0.5861114318984588,0.046216880033165354
3.0,0.1,0.508,0.51361082783238,0.4939705278639905,0.031240998703626628
3.0,0.15,0.5439999999999999,0.5153178372919557,0.5397199016182554,0.03382306905057553
3.0,0.2,0.572,0.5442200593436262,0.5695992855040636,0.02315167380558043
3.0,0.25,0.57,0.5235567872946769,0.5678277748520172,0.016733200530681485
3.0,0.3,0.618,0.5753204886062069,0.6146688240535465,0.05418486873657624
