m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,0.7000000000000001,0.6244531006933299,0.6892131794735319,0.04335896677735759
1.0,0.15,0.6819999999999999,0.576835966822118,0.6589140215290541,0.05706137047074842
1.0,0.2,0.702,0.6173668498151523,0.6867998085764813,0.01720465053408524
1.0,0.25,0.732,0.6526012822924312,0.7156585428295232,0.03655133376499413
1.0,0.3,0.732,0.6674762668335861,0.7247133285515506,0.025612496949731417
2.0,0.1,0.562,0.5467884114961601,0.5576218010141247,0.058787753826796275
2.0,0.15,0.5960000000000001,0.5649281158908861,0.5918185009738253,0.03498571136907179
2.0,0.2,0.618,0.5752808680842306,0.6089391922387112,0.035440090293338736
2.0,0.25,0.588,0.5233480306013696,0.5715582408648301,0.06144916598294888
2.0,0.3,0.6260000000000001,0.5466497851047747,0.6115634128409793,0.017435595774162708
3.0,0.1,0.542,0.5491460720580097,0.5303927975611339,0.04166533331199932
3.0,0.15,0.576,0.5471801956162785,0.570644837826961,0.05003998401278721
3.0,0.2,0.62,0.5808961766932254,0.6165729264325648,0.014142135623730963
3.0,0.25,0.622,0.567875160348641,0.6160907567363528,0.017204650534085267
3.0,0.3,0.6140000000000001,0.5655212094933075,0.6065379353044529,0.04715930449020639
