wavelet,level,accuracy,f1_macro,f1_weighted,std_accuracy
db2,3,0.8320000000000001,0.8308271544246708,0.8308271544246706,0.05268775948927796
db2,4,0.85,0.8482812153869265,0.8482812153869264,0.05215361924162119
db2,5,0.86,0.8586548322268536,0.8586548322268536,0.04604345773288536
db2,6,0.874,0.8720814241882193,0.8720814241882193,0.050039984012787225
db4,3,0.8539999999999999,0.8518900652548442,0.8518900652548442,0.028705400188814675
db4,4,0.882,0.8807599680747128,0.8807599680747128,0.02227105745132011
db4,5,0.8799999999999999,0.8788470278312952,0.878847027831295,0.02097617696340305
db4,6,0.8859999999999999,0.8848514111304473,0.8848514111304473,0.014966629547095779
db6,3,0.86,0.8575683627163215,0.8575683627163215,0.026076809620810576
db6,4,0.874,0.8724621305272706,0.8724621305272707,0.02059126028197402
db6,5,0.8960000000000001,0.8952916951787298,0.8952916951787298,0.01959591794226544
db6,6,0.89,0.8893529142399789,0.8893529142399789,0.024494897427831803
db8,3,0.8699999999999999,0.868668258500303,0.868668258500303,0.020000000000000018
db8,4,0.8720000000000001,0.8706035985999565,0.8706035985999566,0.02315167380558047
db8,5,0.884,0.8821952608820688,0.8821952608820688,0.02059126028197402
db8,6,0.8779999999999999,0.8762250212057656,0.8762250212057658,0.016000000000000014
sym2,3,0.8320000000000001,0.8308271544246708,0.8308271544246706,0.05268775948927796
sym2,4,0.85,0.8482812153869265,0.8482812153869264,0.05215361924162119
sym2,5,0.86,0.8586548322268536,0.8586548322268536,0.04604345773288536
sym2,6,0.874,0.8720814241882193,0.8720814241882193,0.050039984012787225
sym4,3,0.852,0.8498446782016549,0.8498446782016549,0.024819347291981736
sym4,4,0.882,0.8801669697065106,0.8801669697065106,0.02925747767665561
sym4,5,0.876,0.8740904922250058,0.8740904922250058,0.03611094017053561
sym4,6,0.874,0.8726691263296695,0.8726691263296698,0.024979991993593614
sym6,3,0.86,0.8575677866615458,0.8575677866615458,0.03033150177620623
sym6,4,0.89,0.8888558835259734,0.8888558835259734,0.023664319132398488
sym6,5,0.8880000000000001,0.8859897710445275,0.8859897710445276,0.02039607805437116
sym6,6,0.8800000000000001,0.8783862961911743,0.8783862961911743,0.02966479394838268
coif1,3,0.834,0.831964708803351,0.831964708803351,0.03979949748426479
coif1,4,0.86,0.8587508318240026,0.8587508318240026,0.04381780460041329
coif1,5,0.85,0.8487222164552074,0.8487222164552074,0.04427188724235732
coif1,6,0.874,0.8723470821237189,0.8723470821237189,0.022449944320643667
coif3,3,0.866,0.8636782236045454,0.8636782236045454,0.028705400188814675
coif3,4,0.876,0.8734238012739723,0.8734238012739723,0.03498571136907179
coif3,5,0.8940000000000001,0.8921686227441722,0.8921686227441722,0.02653299832284322
coif3,6,0.8880000000000001,0.8866207472651633,0.8866207472651633,0.02227105745132011
