wavelet,level,accuracy,f1_macro,f1_weighted,std_accuracy
db2,3,0.968,0.9674833502759581,0.9678772319452017,0.0213541565040626
db2,4,0.958,0.9585366042735359,0.9580368339737835,0.020396078054371117
db2,5,0.97,0.9702237733095679,0.9699561736591272,0.021908902300206624
db2,6,0.974,0.9736231957685767,0.9740354806099377,0.013564659966250548
db4,3,0.9720000000000001,0.9690005173152135,0.9717478636618517,0.017204650534085267
db4,4,0.9620000000000001,0.9589091733421846,0.961855853111819,0.011661903789690611
db4,5,0.968,0.9651985716022248,0.9680311947682101,0.011661903789690611
db4,6,0.97,0.9675367688447857,0.9699750115446317,0.016733200530681527
db6,3,0.976,0.9733119347083841,0.9759303656061048,0.01019803902718558
db6,4,0.9620000000000001,0.9591866887303147,0.9619549154072665,0.014696938456699083
db6,5,0.968,0.9659981914325606,0.9680163795902541,0.00979795897113272
db6,6,0.9780000000000001,0.9743677119665215,0.9780598042310074,0.014696938456699083
db8,3,0.978,0.9774761564164809,0.9779982795071567,0.011661903789690611
db8,4,0.9739999999999999,0.9711780470553982,0.9738141448669662,0.017435595774162708
db8,5,0.962,0.9598971679571766,0.9619618245175559,0.00979795897113272
db8,6,0.97,0.965458439541127,0.9698365516194973,0.014142135623730963
sym2,3,0.968,0.9674833502759581,0.9678772319452017,0.0213541565040626
sym2,4,0.958,0.9585366042735359,0.9580368339737835,0.020396078054371117
sym2,5,0.97,0.9702237733095679,0.9699561736591272,0.021908902300206624
sym2,6,0.974,0.9736231957685767,0.9740354806099377,0.013564659966250548
sym4,3,0.9719999999999999,0.9699564424640028,0.9719590068011987,0.007483314773547889
sym4,4,0.968,0.9669841490274029,0.9681238564088804,0.016000000000000014
sym4,5,0.9640000000000001,0.963641964466758,0.9641132349361066,0.021540659228538
sym4,6,0.97,0.9694533807106908,0.9700573435661155,0.021908902300206663
sym6,3,0.966,0.965038609756246,0.9658639211892937,0.014966629547095779
sym6,4,0.966,0.9642756329561829,0.9660780024310149,0.00489897948556636
sym6,5,0.97,0.9663091867479432,0.9702272456395044,0.014142135623730963
sym6,6,0.9720000000000001,0.9685535018070329,0.9721123429023312,0.014696938456699083
coif1,3,0.9560000000000001,0.9524858814948347,0.9559151975064293,0.01496662954709574
coif1,4,0.958,0.9561665243602938,0.9580060195047819,0.01939071942966529
coif1,5,0.962,0.9605839952774786,0.9622273624731499,0.011661903789690611
coif1,6,0.96,0.956988196468674,0.9601300061201865,0.02097617696340305
coif3,3,0.97,0.9691305502460485,0.9699383452769433,0.008944271909999166
coif3,4,0.966,0.9654127933177259,0.9661842484506554,0.008000000000000007
coif3,5,0.978,0.9753839590938795,0.97814964738204,0.014696938456699081
coif3,6,0.976,0.9737371062446666,0.9761734239629843,0.013564659966250548
