wavelet,level,accuracy,f1_macro,f1_weighted,std_accuracy
db2,3,0.958,0.9590618894726726,0.9578599021859613,0.0193907194296653
db2,4,0.958,0.9574503794538198,0.9577820715802952,0.023151673805580447
db2,5,0.962,0.9623698296478593,0.9618267313408546,0.02135415650406264
db2,6,0.966,0.9648635873622515,0.9658988627303792,0.021540659228538036
db4,3,0.9759999999999998,0.9741586705443863,0.9759720896349486,0.00489897948556636
db4,4,0.968,0.9682341230595419,0.9678922235158456,0.011661903789690611
db4,5,0.9719999999999999,0.972529466151812,0.9719670130943158,0.016000000000000014
db4,6,0.96,0.9591310068675567,0.959905701906402,0.021908902300206663
db6,3,0.974,0.9733547942427363,0.9739830478290662,0.008000000000000007
db6,4,0.9739999999999999,0.9732883727507545,0.9739573231453008,0.013564659966250548
db6,5,0.9719999999999999,0.9725030314207357,0.9719804982427191,0.01720465053408527
db6,6,0.974,0.9725892352977981,0.9740042939714095,0.018547236990991426
db8,3,0.976,0.9741800480833447,0.9759477114121553,0.00489897948556636
db8,4,0.9719999999999999,0.9698224165882493,0.9718494578015765,0.016000000000000014
db8,5,0.9640000000000001,0.9641828458495125,0.9638545798545799,0.023323807579381222
db8,6,0.9600000000000002,0.9582968551245662,0.9598338719634778,0.02097617696340305
sym2,3,0.958,0.9590618894726726,0.9578599021859613,0.0193907194296653
sym2,4,0.958,0.9574503794538198,0.9577820715802952,0.023151673805580447
sym2,5,0.962,0.9623698296478593,0.9618267313408546,0.02135415650406264
sym2,6,0.966,0.9648635873622515,0.9658988627303792,0.021540659228538036
sym4,3,0.9639999999999999,0.9615698139530651,0.9638566606529146,0.016248076809271934
sym4,4,0.9719999999999999,0.9715316643978745,0.9718492731218449,0.016000000000000014
sym4,5,0.966,0.9640506167897012,0.9658632149195882,0.023323807579381222
sym4,6,0.9599999999999997,0.958815122608109,0.9597743082642746,0.022803508501982782
sym6,3,0.968,0.9667730335494535,0.9679952610106859,0.00979795897113272
sym6,4,0.966,0.9641938684494686,0.965966797414981,0.012000000000000009
sym6,5,0.976,0.9743253284259532,0.9759823425673011,0.013564659966250548
sym6,6,0.96,0.9590743388750255,0.9598377003153648,0.02280350850198278
coif1,3,0.9480000000000001,0.9482026330814467,0.9479557488629566,0.014696938456699055
coif1,4,0.9559999999999998,0.9550347096140488,0.9559132221252694,0.027276363393971704
coif1,5,0.9579999999999999,0.9551406697430623,0.958072176313918,0.019390719429665332
coif1,6,0.9559999999999998,0.9541929988774417,0.9559593615190753,0.02576819745345025
coif3,3,0.97,0.9681735739917341,0.9698695959040198,0.008944271909999166
coif3,4,0.9739999999999999,0.9725158651218784,0.9739594661393136,0.013564659966250548
coif3,5,0.97,0.9699532342964092,0.9699551570000864,0.015491933384829683
coif3,6,0.968,0.9665128520095039,0.9678779803070817,0.018330302779823376
