m,r_multiplier,n,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,1.0,0.8466666666666667,0.8247634285284888,0.845308766995514,0.046427960923947076
1.0,0.1,2.0,0.7366666666666667,0.708798581093056,0.7375834143271015,0.08781293248212993
1.0,0.1,3.0,0.7533333333333333,0.7245707341251364,0.7523260479107794,0.06782329983125271
1.0,0.2,1.0,0.8066666666666666,0.7828217361807435,0.8066520567447683,0.03091206165165233
1.0,0.2,2.0,0.7633333333333333,0.7383397076203222,0.7646284914168,0.032317865716108875
1.0,0.2,3.0,0.7633333333333333,0.7355394692411896,0.762289881783137,0.07557189365836424
1.0,0.3,1.0,0.8066666666666666,0.7799340257589975,0.8050220511052751,0.04422166387140532
1.0,0.3,2.0,0.7366666666666667,0.7087738106425099,0.737380752649024,0.055176484524156175
1.0,0.3,3.0,0.7466666666666666,0.7193811071277121,0.7463219365495007,0.06863753427324665
2.0,0.1,1.0,0.9433333333333334,0.9347944647944647,0.9426319359652693,0.024944382578492935
2.0,0.1,2.0,0.7,0.657765614332044,0.6965723098957884,0.02357022603955158
2.0,0.1,3.0,0.7033333333333334,0.67248898313703,0.7037881511344234,0.03858612300930076
2.0,0.2,1.0,0.93,0.9196126912303383,0.9291661279896575,0.02666666666666668
2.0,0.2,2.0,0.6633333333333333,0.611974064912338,0.6561088696208875,0.06944222218666553
2.0,0.2,3.0,0.68,0.6512595052369333,0.6819827500418133,0.04521553322083512
2.0,0.3,1.0,0.8766666666666666,0.8624910907615411,0.8770701380974051,0.02905932629027116
2.0,0.3,2.0,0.6633333333333333,0.6129081285368893,0.6577970435355727,0.05906681715556448
2.0,0.3,3.0,0.7033333333333334,0.6691195079890733,0.7017576876707311,0.03711842908553348
3.0,0.1,1.0,0.9566666666666667,0.9513749055536647,0.9567175100940666,0.008164965809277286
3.0,0.1,2.0,0.8933333333333333,0.8741538563880293,0.8904593226126266,0.022607766610417534
3.0,0.1,3.0,0.72,0.6906624649859945,0.7216769374416433,0.02666666666666667
3.0,0.2,1.0,0.8833333333333332,0.8687931126856154,0.8830786211855555,0.027888667551135834
3.0,0.2,2.0,0.8333333333333334,0.8071670207212375,0.8307772488495381,0.038005847503304595
3.0,0.2,3.0,0.7,0.6625789494558291,0.6990305706558837,0.031622776601683764
3.0,0.3,1.0,0.8333333333333334,0.8138224426394697,0.8335833388685465,0.04714045207910316
3.0,0.3,2.0,0.7899999999999999,0.7651932585074015,0.7902026419351127,0.038873012632301994
3.0,0.3,3.0,0.7566666666666666,0.725068628347071,0.7560296189374611,0.04898979485566354
