m,r_multiplier,n,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,1.0,0.8033333333333333,0.7713996865784791,0.7997987897847194,0.03858612300930074
1.0,0.1,2.0,0.7633333333333333,0.7264200943638653,0.7593611594102183,0.04642796092394708
1.0,0.1,3.0,0.82,0.7890378563468871,0.8159617548299363,0.04642796092394709
1.0,0.2,1.0,0.78,0.750220390617042,0.7787855222279851,0.02211083193570265
1.0,0.2,2.0,0.7733333333333334,0.7345178787037495,0.768226655520923,0.05228129047119374
1.0,0.2,3.0,0.8133333333333335,0.7847949493809571,0.8107625223157958,0.045215533220835144
1.0,0.3,1.0,0.7533333333333333,0.7194851640675678,0.7514039725412596,0.02666666666666667
1.0,0.3,2.0,0.76,0.7266744950464771,0.7582664437080766,0.022607766610417582
1.0,0.3,3.0,0.7966666666666666,0.7651010072091639,0.7934289905488092,0.03559026084010435
2.0,0.1,1.0,0.9233333333333335,0.9131450558119145,0.9228756405490992,0.01999999999999998
2.0,0.1,2.0,0.7366666666666667,0.6848070650302391,0.7269520018574877,0.04521553322083511
2.0,0.1,3.0,0.7,0.6465212071176412,0.6918246825475085,0.03800584750330463
2.0,0.2,1.0,0.8766666666666667,0.8586037754642755,0.8750345408820177,0.027080128015453172
2.0,0.2,2.0,0.74,0.6788319267905343,0.7247467425000046,0.04666666666666666
2.0,0.2,3.0,0.7266666666666667,0.6769510361712147,0.7184851770719006,0.030912061651652355
2.0,0.3,1.0,0.8700000000000001,0.8506400042420761,0.8685450387863979,0.02449489742783177
2.0,0.3,2.0,0.7133333333333333,0.6494988629701351,0.6990376996464548,0.026666666666666658
2.0,0.3,3.0,0.73,0.6746793938815009,0.7188474164382228,0.03399346342395189
3.0,0.1,1.0,0.9200000000000002,0.9102916061260092,0.9201047647260742,0.01632993161855452
3.0,0.1,2.0,0.8666666666666668,0.8493161909011289,0.8661306468403887,0.02357022603955158
3.0,0.1,3.0,0.76,0.7222295498553184,0.7560451767391838,0.027080128015453234
3.0,0.2,1.0,0.8666666666666666,0.8457059068379911,0.864260374851405,0.029814239699997178
3.0,0.2,2.0,0.8133333333333332,0.7826034631241474,0.8097804041588604,0.042687494916218996
3.0,0.2,3.0,0.7066666666666668,0.6606917796082051,0.7013610131675011,0.03887301263230201
3.0,0.3,1.0,0.8133333333333332,0.7870213621162845,0.8114385851883368,0.053124591501697425
3.0,0.3,2.0,0.77,0.7411738126077827,0.7694675546280878,0.03399346342395189
3.0,0.3,3.0,0.7833333333333334,0.7470799854197373,0.7789526511249518,0.03333333333333336
