m,r_multiplier,n,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,1.0,0.43600000000000005,0.4263066915962737,0.4263066915962737,0.03440930106817051
1.0,0.1,2.0,0.496,0.4951468734625304,0.4951468734625304,0.040298883359219786
1.0,0.1,3.0,0.522,0.5174742726426756,0.5174742726426756,0.048332183894378294
1.0,0.2,1.0,0.426,0.4212889256051631,0.4212889256051631,0.04630334761116091
1.0,0.2,2.0,0.48,0.47605551000695484,0.47605551000695473,0.03898717737923587
1.0,0.2,3.0,0.524,0.5201977151979571,0.520197715197957,0.0463033476111609
1.0,0.3,1.0,0.422,0.41709268391705523,0.41709268391705523,0.02638181191654584
1.0,0.3,2.0,0.48600000000000004,0.4855011140296182,0.4855011140296182,0.030066592756745822
1.0,0.3,3.0,0.512,0.5084632474774636,0.5084632474774636,0.05268775948927795
2.0,0.1,1.0,0.418,0.4101681591973955,0.4101681591973955,0.025612496949731396
2.0,0.1,2.0,0.374,0.3638551429647968,0.3638551429647968,0.03611094017053558
2.0,0.1,3.0,0.39,0.388270301598289,0.388270301598289,0.03405877273185281
2.0,0.2,1.0,0.388,0.3842149620924099,0.3842149620924099,0.04874423042781577
2.0,0.2,2.0,0.392,0.38169437776098686,0.3816943777609868,0.04791659420284374
2.0,0.2,3.0,0.41200000000000003,0.40868258581303046,0.4086825858130304,0.011661903789690587
2.0,0.3,1.0,0.392,0.3864196358975274,0.3864196358975274,0.011661903789690611
2.0,0.3,2.0,0.388,0.37858724355827406,0.3785872435582741,0.06554387843269575
2.0,0.3,3.0,0.41400000000000003,0.41160130854040905,0.41160130854040905,0.03199999999999998
3.0,0.1,1.0,0.41600000000000004,0.40734903950250256,0.40734903950250256,0.04498888751680797
3.0,0.1,2.0,0.42800000000000005,0.42111168804339394,0.42111168804339394,0.027129319932501075
3.0,0.1,3.0,0.37,0.3623518774306018,0.3623518774306017,0.023664319132398467
3.0,0.2,1.0,0.458,0.45057358373579126,0.45057358373579126,0.034871191548325395
3.0,0.2,2.0,0.43599999999999994,0.43058182740727907,0.4305818274072791,0.057131427428342804
3.0,0.2,3.0,0.36800000000000005,0.36036283270250163,0.36036283270250163,0.03249615361854384
3.0,0.3,1.0,0.47400000000000003,0.47161519613649155,0.47161519613649167,0.03611094017053559
3.0,0.3,2.0,0.438,0.43293016105025844,0.43293016105025844,0.0448998886412873
3.0,0.3,3.0,0.356,0.34933851033198604,0.34933851033198604,0.04409081537009721
