m,r_multiplier,n,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,1.0,0.41,0.4064821875801356,0.4064821875801356,0.04690415759823429
1.0,0.1,2.0,0.4880000000000001,0.4862877654681033,0.4862877654681033,0.04069397989875162
1.0,0.1,3.0,0.472,0.4680854464796109,0.4680854464796109,0.05344155686354957
1.0,0.2,1.0,0.422,0.41638090309259707,0.416380903092597,0.05192301994298868
1.0,0.2,2.0,0.47800000000000004,0.47670434832393405,0.4767043483239341,0.029933259094191537
1.0,0.2,3.0,0.462,0.4545043538830864,0.4545043538830864,0.04308131845707603
1.0,0.3,1.0,0.402,0.40157436299607224,0.40157436299607224,0.020396078054371134
1.0,0.3,2.0,0.48600000000000004,0.48575515468992536,0.48575515468992536,0.03200000000000001
1.0,0.3,3.0,0.472,0.4671824462560526,0.4671824462560526,0.036551333764994136
2.0,0.1,1.0,0.40800000000000003,0.3985819645976128,0.3985819645976128,0.029933259094191537
2.0,0.1,2.0,0.378,0.3705301139847398,0.3705301139847398,0.04445222154178575
2.0,0.1,3.0,0.36800000000000005,0.3651569556562254,0.3651569556562254,0.04489988864128729
2.0,0.2,1.0,0.386,0.37986052104138734,0.37986052104138734,0.02154065922853802
2.0,0.2,2.0,0.38199999999999995,0.37604547973152097,0.37604547973152097,0.040199502484483556
2.0,0.2,3.0,0.394,0.3905725285470519,0.3905725285470519,0.0467332857821917
2.0,0.3,1.0,0.372,0.36430750047507665,0.36430750047507665,0.033704599092705415
2.0,0.3,2.0,0.38,0.3755308174702031,0.3755308174702031,0.050199601592044535
2.0,0.3,3.0,0.372,0.36715221609400805,0.36715221609400805,0.04791659420284376
3.0,0.1,1.0,0.376,0.3674086529017454,0.3674086529017453,0.03006659275674581
3.0,0.1,2.0,0.384,0.3828628303738743,0.3828628303738743,0.029393876913398134
3.0,0.1,3.0,0.34800000000000003,0.3452238155561599,0.3452238155561599,0.022271057451320082
3.0,0.2,1.0,0.43600000000000005,0.42967849818359205,0.42967849818359205,0.04758150901348128
3.0,0.2,2.0,0.39,0.3866690073275133,0.3866690073275133,0.028284271247461888
3.0,0.2,3.0,0.328,0.32497756272595996,0.32497756272595996,0.019390719429665314
3.0,0.3,1.0,0.45,0.4459858157905652,0.4459858157905652,0.03847076812334268
3.0,0.3,2.0,0.402,0.39713747844486014,0.3971374784448601,0.05635601121442148
3.0,0.3,3.0,0.35,0.3469400271155652,0.3469400271155652,0.02683281572999748
