m,r_multiplier,n,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,1.0,0.418,0.4153828672835269,0.4153828672835269,0.03919183588453086
1.0,0.1,2.0,0.45199999999999996,0.44851796987783465,0.44851796987783465,0.03762977544445357
1.0,0.1,3.0,0.508,0.5072060490901944,0.5072060490901944,0.04019950248448356
1.0,0.2,1.0,0.41400000000000003,0.4078003891263213,0.4078003891263213,0.036110940170535566
1.0,0.2,2.0,0.472,0.46399637377520386,0.46399637377520386,0.029257477676655586
1.0,0.2,3.0,0.518,0.5198978659710652,0.5198978659710652,0.05192301994298869
1.0,0.3,1.0,0.42400000000000004,0.4195301904637903,0.4195301904637903,0.03136877428271625
1.0,0.3,2.0,0.4779999999999999,0.47282672545676185,0.4728267254567619,0.011661903789690594
1.0,0.3,3.0,0.502,0.5021501786697267,0.5021501786697267,0.04534313619501853
2.0,0.1,1.0,0.442,0.4334617247350156,0.4334617247350156,0.04707440918375928
2.0,0.1,2.0,0.364,0.36111628045283456,0.36111628045283456,0.04841487374764082
2.0,0.1,3.0,0.372,0.3694537745436922,0.3694537745436923,0.038678159211627434
2.0,0.2,1.0,0.43199999999999994,0.42698195958347973,0.42698195958347973,0.026381811916545827
2.0,0.2,2.0,0.35,0.34205758405054143,0.3420575840505414,0.06066300355241241
2.0,0.2,3.0,0.35200000000000004,0.34837658835965063,0.34837658835965063,0.047497368348151665
2.0,0.3,1.0,0.394,0.3897785297809278,0.3897785297809278,0.04923413450036467
2.0,0.3,2.0,0.382,0.3748267203362674,0.37482672033626746,0.04534313619501852
2.0,0.3,3.0,0.378,0.3738585964077014,0.37385859640770136,0.06462197768561403
3.0,0.1,1.0,0.42000000000000004,0.41558513498824273,0.41558513498824273,0.01897366596101027
3.0,0.1,2.0,0.404,0.39766885770724636,0.39766885770724636,0.04498888751680797
3.0,0.1,3.0,0.356,0.3513634251204839,0.35136342512048396,0.028705400188814654
3.0,0.2,1.0,0.43200000000000005,0.4237453951466222,0.4237453951466221,0.03429285639896449
3.0,0.2,2.0,0.4119999999999999,0.40782474935579555,0.40782474935579555,0.04791659420284376
3.0,0.2,3.0,0.33999999999999997,0.3311668670588139,0.3311668670588139,0.0316227766016838
3.0,0.3,1.0,0.472,0.4700015764527934,0.4700015764527933,0.04664761515876242
3.0,0.3,2.0,0.42799999999999994,0.42016009833435125,0.42016009833435125,0.028565713714171395
3.0,0.3,3.0,0.37,0.3633089333915607,0.3633089333915606,0.04516635916254485
