m,r_multiplier,n,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,1.0,0.728,0.650238573939885,0.7144857189272923,0.03600000000000003
1.0,0.1,2.0,0.734,0.7032631629804984,0.7296793131048215,0.041761226035642196
1.0,0.1,3.0,0.754,0.7362886183934637,0.7522203386039378,0.054626001134990665
1.0,0.2,1.0,0.7100000000000001,0.6285259292925678,0.6971364015266563,0.03521363372331801
1.0,0.2,2.0,0.74,0.7069332595159047,0.7334108205099948,0.044721359549995794
1.0,0.2,3.0,0.766,0.7498596659701731,0.7641908113175375,0.048414873747640835
1.0,0.3,1.0,0.6980000000000001,0.6154569863890058,0.6862704160204183,0.02993325909419151
1.0,0.3,2.0,0.74,0.7091780520341373,0.7358243952516975,0.05403702434442519
1.0,0.3,3.0,0.766,0.7502791273831677,0.7640681145929629,0.042237424163885755
2.0,0.1,1.0,0.666,0.5782138777566163,0.6463738764133978,0.03072458299147442
2.0,0.1,2.0,0.6519999999999999,0.5403981537637033,0.6198388793356031,0.02227105745132011
2.0,0.1,3.0,0.642,0.5662160141083646,0.6255725875951323,0.0503587132480567
2.0,0.2,1.0,0.682,0.5997747208272932,0.6670628423431927,0.034292856398964476
2.0,0.2,2.0,0.64,0.5200340056459858,0.6041957075494386,0.031622776601683784
2.0,0.2,3.0,0.63,0.5308934337067928,0.604902623015496,0.03898717737923589
2.0,0.3,1.0,0.7020000000000001,0.6095071095930885,0.6814004810826033,0.03059411708155669
2.0,0.3,2.0,0.652,0.5449496416052326,0.6215265469092517,0.019390719429665335
2.0,0.3,3.0,0.6559999999999999,0.5692331163500242,0.6356795164778702,0.04363484845854288
3.0,0.1,1.0,0.728,0.6604074575319193,0.7175625421118961,0.030594117081556703
3.0,0.1,2.0,0.6639999999999999,0.6021520824613642,0.6478207434677438,0.02576819745345022
3.0,0.1,3.0,0.622,0.5270506743202887,0.5968331499005007,0.011661903789690611
3.0,0.2,1.0,0.728,0.6430145391219256,0.7121671637718896,0.016000000000000014
3.0,0.2,2.0,0.6719999999999999,0.584021480423991,0.6475842125698819,0.031874754901018425
3.0,0.2,3.0,0.6279999999999999,0.5185023664232061,0.5951128926179003,0.0401995024844836
3.0,0.3,1.0,0.718,0.6295954551489219,0.7010033899920936,0.013266499161421611
3.0,0.3,2.0,0.6699999999999999,0.5793507927083569,0.6492488134847214,0.06899275324264134
3.0,0.3,3.0,0.6279999999999999,0.5309630758445751,0.6015473093281339,0.03249615361854387
