m,r_multiplier,n,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,1.0,0.706,0.6448835476927244,0.7025059123891195,0.023323807579381187
1.0,0.1,2.0,0.706,0.675098331725646,0.7048723562500372,0.0531413210223457
1.0,0.1,3.0,0.758,0.7428313008244474,0.7568132205513379,0.027129319932501096
1.0,0.2,1.0,0.662,0.5801124896977619,0.6526733398928937,0.027856776554368228
1.0,0.2,2.0,0.698,0.6702976181773461,0.6963248060715012,0.040199502484483556
1.0,0.2,3.0,0.7680000000000001,0.755941356175676,0.7679367107852887,0.02400000000000002
1.0,0.3,1.0,0.63,0.5537373153461241,0.6281703948591228,0.027568097504180468
1.0,0.3,2.0,0.716,0.6915777918635733,0.713889660651203,0.04454211490264018
1.0,0.3,3.0,0.766,0.753169675047382,0.7656761220757119,0.023323807579381222
2.0,0.1,1.0,0.664,0.5943568774904872,0.6539237725228138,0.013564659966250505
2.0,0.1,2.0,0.65,0.5645179649518879,0.6309991004009026,0.027568097504180437
2.0,0.1,3.0,0.638,0.570460501685694,0.625970321640892,0.048744230427815734
2.0,0.2,1.0,0.6419999999999999,0.5665597192910485,0.6345761348274142,0.03655133376499413
2.0,0.2,2.0,0.644,0.5605462606281075,0.6253880589285503,0.01959591794226544
2.0,0.2,3.0,0.6060000000000001,0.5427873253977629,0.597446966079491,0.0512249938994628
2.0,0.3,1.0,0.632,0.5434532583271625,0.6201621068495016,0.031874754901018446
2.0,0.3,2.0,0.6559999999999999,0.5820770664248834,0.6424111623344251,0.03072458299147442
2.0,0.3,3.0,0.6180000000000001,0.5535601644417212,0.6078549194859583,0.036
3.0,0.1,1.0,0.706,0.6414597491256142,0.6997207870127043,0.024979991993593575
3.0,0.1,2.0,0.6540000000000001,0.5935329099627762,0.6410671761390527,0.03136877428271624
3.0,0.1,3.0,0.58,0.4998138623342136,0.5641097144412024,0.03405877273185279
3.0,0.2,1.0,0.6859999999999999,0.5980470712945263,0.6711717754466852,0.024166091947189123
3.0,0.2,2.0,0.6340000000000001,0.5676414028744285,0.6232228290318715,0.053516352641038586
3.0,0.2,3.0,0.5740000000000001,0.5053006714317446,0.5668783782356659,0.05571355310873648
3.0,0.3,1.0,0.708,0.629077996265045,0.6967592400214694,0.017204650534085233
3.0,0.3,2.0,0.622,0.5551178006031807,0.6161430315675929,0.06968500556073738
3.0,0.3,3.0,0.6399999999999999,0.5889296335118989,0.6340941459365965,0.03794733192202055
