m,r_multiplier,n,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,1.0,0.7300000000000001,0.6463860857520733,0.7120312837865979,0.026076809620810618
1.0,0.1,2.0,0.736,0.7080864243554543,0.7349063971546462,0.05571355310873649
1.0,0.1,3.0,0.75,0.7297166977908512,0.747432384884527,0.043358966777357594
1.0,0.2,1.0,0.7060000000000001,0.6211178570236447,0.689584572671518,0.030066592756745815
1.0,0.2,2.0,0.714,0.6834930873357628,0.7109218924192785,0.052383203414835176
1.0,0.2,3.0,0.76,0.7445342631813958,0.7578651623593686,0.03033150177620623
1.0,0.3,1.0,0.6500000000000001,0.5647565720916657,0.6415996672438851,0.03687817782917154
1.0,0.3,2.0,0.7300000000000001,0.7018129835404413,0.7276139279205102,0.0433589667773576
1.0,0.3,3.0,0.762,0.7449579434980423,0.7598745168256483,0.03969886648255845
2.0,0.1,1.0,0.69,0.6121746079875079,0.6748275076853405,0.02756809750418042
2.0,0.1,2.0,0.632,0.5423326563155512,0.6125140481322318,0.029933259094191558
2.0,0.1,3.0,0.646,0.5732019875799387,0.6309661208939072,0.03720215047547656
2.0,0.2,1.0,0.686,0.5818116065768464,0.6600123117305996,0.025768197453450225
2.0,0.2,2.0,0.626,0.5383345193130342,0.6072893766015255,0.0417612260356422
2.0,0.2,3.0,0.6380000000000001,0.5603827603618817,0.620415356390302,0.04578209256903838
2.0,0.3,1.0,0.682,0.6007849208248689,0.6707835989835634,0.026381811916545816
2.0,0.3,2.0,0.654,0.567891471448176,0.6328066870747324,0.036110940170535566
2.0,0.3,3.0,0.6719999999999999,0.6134491019047144,0.662440603646162,0.031240998703626604
3.0,0.1,1.0,0.7180000000000001,0.64851059355957,0.7082086241497488,0.042614551505325025
3.0,0.1,2.0,0.632,0.5725690013335105,0.6188894018989359,0.034292856398964525
3.0,0.1,3.0,0.584,0.5028756997193237,0.5683063560632968,0.019595917942265402
3.0,0.2,1.0,0.732,0.6527465053094743,0.7200192817264235,0.019390719429665335
3.0,0.2,2.0,0.666,0.6017681385527932,0.6543109774316901,0.026532998322843185
3.0,0.2,3.0,0.584,0.49560293839657465,0.5638455051978686,0.04586937976471885
3.0,0.3,1.0,0.72,0.6414562563607663,0.7074597149805569,0.02366431913239845
3.0,0.3,2.0,0.656,0.5751166135551997,0.6412411938206082,0.04841487374764082
3.0,0.3,3.0,0.616,0.542903049481971,0.6006651028122459,0.04223742416388573
