feature_family,task,m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy,wavelet,level,n,window_size_sec,method,min_window,threshold,multiscale,order,delay,window,nperseg,overlap_ratio
apen,binary,1.0,0.1,0.8666666666666668,0.851635223329866,0.8672914467867427,0.0527046276694729,,,,,,,,,,,,,
apen,binary,1.0,0.15,0.8866666666666667,0.8711354252027859,0.8859328352156318,0.0244948974278317,,,,,,,,,,,,,
apen,binary,1.0,0.2,0.8800000000000001,0.862451561942723,0.8787529552674858,0.0244948974278317,,,,,,,,,,,,,
apen,binary,1.0,0.25,0.85,0.8307331822948105,0.8497423745673782,0.0408248290463863,,,,,,,,,,,,,
apen,binary,1.0,0.3,0.8299999999999998,0.8095437060765083,0.8297947258708576,0.0266666666666666,,,,,,,,,,,,,
apen,binary,2.0,0.1,0.9166666666666666,0.9064892228070522,0.9167461154024462,0.0278886675511358,,,,,,,,,,,,,
apen,binary,2.0,0.15,0.8766666666666667,0.8625593134594581,0.8770325067516108,0.0270801280154532,,,,,,,,,,,,,
apen,binary,2.0,0.2,0.9066666666666666,0.8932037715371048,0.905810156921268,0.0226077666104175,,,,,,,,,,,,,
apen,binary,2.0,0.25,0.9333333333333332,0.9240904122890116,0.932909858826348,0.0434613493680176,,,,,,,,,,,,,
apen,binary,2.0,0.3,0.9366666666666664,0.9290470570637772,0.9366777522334168,0.0286744175568087,,,,,,,,,,,,,
apen,binary,3.0,0.1,0.95,0.943625419408552,0.949921837632681,0.0258198889747161,,,,,,,,,,,,,
apen,binary,3.0,0.15,0.9266666666666667,0.9179506464405962,0.9268337204899822,0.0343187671366233,,,,,,,,,,,,,
apen,binary,3.0,0.2,0.9233333333333332,0.9136404472644782,0.9232657762373526,0.0343187671366233,,,,,,,,,,,,,
apen,binary,3.0,0.25,0.8433333333333334,0.8260669710017761,0.8442252725123296,0.0169967317119759,,,,,,,,,,,,,
apen,binary,3.0,0.3,0.8466666666666667,0.8289635484334411,0.8472493249164987,0.0531245915016974,,,,,,,,,,,,,
apen,five,1.0,0.1,0.416,0.4102793676292847,0.4102793676292847,0.0272763633939717,,,,,,,,,,,,,
apen,five,1.0,0.15,0.44,0.4329101422892212,0.4329101422892212,0.0447213595499958,,,,,,,,,,,,,
apen,five,1.0,0.2,0.4059999999999999,0.3999640709437447,0.3999640709437447,0.0458693797647188,,,,,,,,,,,,,
apen,five,1.0,0.25,0.458,0.4501230185555865,0.4501230185555865,0.0318747549010184,,,,,,,,,,,,,
apen,five,1.0,0.3,0.486,0.477270576385164,0.477270576385164,0.0527636238330916,,,,,,,,,,,,,
apen,five,2.0,0.1,0.368,0.3571868476263394,0.3571868476263394,0.0213541565040626,,,,,,,,,,,,,
apen,five,2.0,0.15,0.3859999999999999,0.3757056512940384,0.3757056512940384,0.0326190128606001,,,,,,,,,,,,,
apen,five,2.0,0.2,0.4019999999999999,0.3887025378004677,0.3887025378004677,0.0416653333119993,,,,,,,,,,,,,
apen,five,2.0,0.25,0.39,0.3819647440384554,0.3819647440384553,0.0529150262212918,,,,,,,,,,,,,
apen,five,2.0,0.3,0.36,0.3511900323212479,0.3511900323212479,0.0244948974278317,,,,,,,,,,,,,
apen,five,3.0,0.1,0.398,0.3777334384210978,0.3777334384210978,0.0278567765543682,,,,,,,,,,,,,
apen,five,3.0,0.15,0.4059999999999999,0.3927913188183273,0.3927913188183273,0.0185472369909914,,,,,,,,,,,,,
apen,five,3.0,0.2,0.414,0.4053568456386116,0.4053568456386116,0.0449888875168079,,,,,,,,,,,,,
apen,five,3.0,0.25,0.384,0.3715133296650368,0.3715133296650368,0.0338230690505755,,,,,,,,,,,,,
apen,five,3.0,0.3,0.3979999999999999,0.3879034670862902,0.3879034670862902,0.0448998886412872,,,,,,,,,,,,,
apen,ternary,1.0,0.1,0.706,0.6272270043295347,0.6901507163579633,0.0516139516022557,,,,,,,,,,,,,
apen,ternary,1.0,0.15,0.696,0.5809525362652523,0.6658271192991527,0.0287054001888146,,,,,,,,,,,,,
apen,ternary,1.0,0.2,0.712,0.6297300749618653,0.6959236728583676,0.0305941170815567,,,,,,,,,,,,,
apen,ternary,1.0,0.25,0.72,0.6449031856218486,0.7067590117523149,0.0178885438199983,,,,,,,,,,,,,
apen,ternary,1.0,0.3,0.752,0.6897510069993593,0.7433922363255532,0.0305941170815567,,,,,,,,,,,,,
apen,ternary,2.0,0.1,0.5780000000000001,0.5632411769145496,0.5778561897060972,0.0331058907144936,,,,,,,,,,,,,
apen,ternary,2.0,0.15,0.586,0.559100374343705,0.5851768924596011,0.0332264954516722,,,,,,,,,,,,,
apen,ternary,2.0,0.2,0.6100000000000001,0.5606620227018684,0.5972577340503764,0.0260768096208106,,,,,,,,,,,,,
apen,ternary,2.0,0.25,0.594,0.5253084716710827,0.5750079257162298,0.0640624695121878,,,,,,,,,,,,,
apen,ternary,2.0,0.3,0.654,0.566929236279327,0.6321539113740202,0.0313687742827162,,,,,,,,,,,,,
apen,ternary,3.0,0.1,0.524,0.5392305685487567,0.5152744790416707,0.020591260281974,,,,,,,,,,,,,
