feature,task,lightgbm_best,lightgbm_mean,lightgbm_range,xgboost_best,xgboost_mean,xgboost_range,rf_best,rf_mean,rf_range
lzc,binary,0.91,0.8678,0.0867,0.9233,0.8622,0.1167,0.9,0.8394,0.1167
lzc,ternary,0.718,0.6873,0.068,0.708,0.672,0.086,0.706,0.664,0.086
lzc,five,0.4,0.3487,0.07,0.424,0.3477,0.11,0.43,0.3473,0.124
hurst,binary,0.9133,0.6769,0.3867,0.9133,0.7131,0.3,0.9,0.7039,0.3033
hurst,ternary,0.712,0.6413,0.19,0.67,0.6188,0.128,0.686,0.6093,0.194
hurst,five,0.48,0.4277,0.126,0.488,0.4225,0.174,0.504,0.4097,0.2
sampen,binary,0.9767,0.9431,0.0767,0.98,0.9393,0.08,0.97,0.928,0.1
sampen,ternary,0.726,0.6707,0.12,0.708,0.6664,0.094,0.694,0.6435,0.116
sampen,five,0.518,0.44,0.118,0.494,0.432,0.088,0.468,0.4068,0.094
apen,binary,0.95,0.8916,0.12,0.9433,0.8864,0.1033,0.9433,0.8636,0.1967
apen,ternary,0.752,0.6376,0.228,0.732,0.6341,0.19,0.704,0.6029,0.196
apen,five,0.486,0.4075,0.126,0.468,0.3983,0.114,0.45,0.3721,0.116
permen,binary,0.9267,0.8579,0.1033,0.9167,0.8493,0.1067,0.91,0.836,0.1367
permen,ternary,0.752,0.625,0.256,0.734,0.6159,0.23,0.732,0.5998,0.264
permen,five,0.462,0.4027,0.128,0.466,0.3994,0.132,0.462,0.3825,0.138
fuzzen,binary,0.9567,0.7848,0.2933,0.9433,0.8014,0.2533,0.9233,0.7919,0.2233
fuzzen,ternary,0.766,0.6895,0.144,0.762,0.6804,0.178,0.768,0.6653,0.194
fuzzen,five,0.524,0.4302,0.168,0.518,0.418,0.178,0.488,0.4073,0.16
hjorth,binary,0.99,0.9861,0.01,0.99,0.9872,0.0033,0.9967,0.9956,0.0067
hjorth,ternary,0.966,0.955,0.02,0.972,0.9657,0.01,0.974,0.9687,0.012
hjorth,five,0.816,0.8013,0.038,0.836,0.821,0.024,0.844,0.8333,0.026
psd,binary,1.0,0.9927,0.02,0.9967,0.9927,0.0167,1.0,0.994,0.0167
psd,ternary,0.976,0.9661,0.02,0.976,0.963,0.022,0.972,0.9644,0.014
psd,five,0.868,0.8403,0.064,0.882,0.8422,0.082,0.886,0.8491,0.078
dwt,binary,0.9967,0.9916,0.01,0.9967,0.9941,0.01,1.0,0.9969,0.01
dwt,ternary,0.978,0.9682,0.022,0.98,0.9642,0.03,0.976,0.9656,0.028
dwt,five,0.894,0.8681,0.07,0.892,0.8617,0.066,0.896,0.8695,0.064
