order,delay,accuracy,f1_macro,f1_weighted,std_accuracy
3.0,1.0,0.5519999999999999,0.5804602712426237,0.5483662067003785,0.05810335618533581
3.0,2.0,0.5640000000000001,0.5320671952070909,0.558465199435717,0.048414873747640814
3.0,3.0,0.67,0.6189039155497225,0.6616679312727418,0.03405877273185279
3.0,4.0,0.7,0.6165090056281649,0.6808055741622276,0.04195235392680607
3.0,5.0,0.752,0.6808419512700268,0.7413705358197104,0.029933259094191558
4.0,1.0,0.496,0.5300653553647805,0.49555894591825594,0.05748043145279965
4.0,2.0,0.5519999999999999,0.5260162120203691,0.549252210733821,0.0406939798987516
4.0,3.0,0.582,0.5233923432893275,0.5744457318683684,0.035440090293338694
4.0,4.0,0.678,0.6076248742013668,0.6644272383190294,0.009797958971132694
4.0,5.0,0.6839999999999999,0.6182921353459332,0.6728141622578467,0.03498571136907178
5.0,1.0,0.532,0.5608827175081926,0.5276333996083601,0.05075431016179807
5.0,2.0,0.5479999999999999,0.512566795022123,0.5460489107600102,0.041182520563947986
5.0,3.0,0.64,0.5736479539258076,0.6274777074308262,0.018973665961010293
5.0,4.0,0.666,0.5934776988884065,0.6499557366599316,0.04758150901348128
5.0,5.0,0.664,0.5967590900966873,0.6537213134396787,0.02870540018881463
6.0,1.0,0.5660000000000001,0.5936410287421172,0.5643603751328442,0.07059745037889116
6.0,2.0,0.5820000000000001,0.5559045929422662,0.5814574774816329,0.045343136195018535
6.0,3.0,0.6239999999999999,0.5660911904808643,0.6153579462732628,0.024979991993593614
6.0,4.0,0.6599999999999999,0.6071358024482484,0.6534569002301522,0.04690415759823428
6.0,5.0,0.704,0.6543078070794608,0.695804119365398,0.024166091947189144
7.0,1.0,0.52,0.5459649230280771,0.5151696300764985,0.04690415759823429
7.0,2.0,0.608,0.5831563927663873,0.6099843114541932,0.052306787322488085
7.0,3.0,0.7,0.6555160840704828,0.6940963113879055,0.03898717737923584
7.0,4.0,0.6859999999999999,0.6417786682140274,0.6830220421935408,0.028705400188814623
7.0,5.0,0.696,0.6607041579106543,0.6916405765236663,0.02059126028197398
