order,delay,accuracy,f1_macro,f1_weighted,std_accuracy
3.0,1.0,0.542,0.5773688143117381,0.5419525373084362,0.0574108003776293
3.0,2.0,0.54,0.5124045228832539,0.5369839304062337,0.030331501776206204
3.0,3.0,0.6340000000000001,0.5774159464639027,0.6282974152265741,0.03200000000000003
3.0,4.0,0.68,0.6007511892415129,0.6667810620476896,0.05253570214625479
3.0,5.0,0.732,0.658319197941845,0.7240942116413881,0.03187475490101844
4.0,1.0,0.506,0.5414924629133473,0.5046275010642696,0.03929376540877702
4.0,2.0,0.54,0.5187001677884756,0.5392873781933475,0.03898717737923585
4.0,3.0,0.58,0.530438363257631,0.5743048268736348,0.03464101615137753
4.0,4.0,0.6300000000000001,0.5703791554729788,0.6221548422674303,0.02529822128134706
4.0,5.0,0.62,0.5622581477110047,0.6159677385111669,0.03162277660168378
5.0,1.0,0.506,0.5437690558389268,0.5044538650704332,0.022449944320643667
5.0,2.0,0.528,0.4995788536288831,0.5254439309065487,0.02785677655436823
5.0,3.0,0.6,0.5474247455866781,0.5943977683363706,0.03847076812334269
5.0,4.0,0.652,0.6024823236663432,0.6442446215621451,0.05192301994298868
5.0,5.0,0.65,0.5838987499730222,0.6384473716188511,0.031622776601683784
6.0,1.0,0.526,0.5521431625405296,0.5235672701617576,0.044988887516807956
6.0,2.0,0.554,0.530712172391614,0.5522114309244353,0.03720215047547654
6.0,3.0,0.638,0.5933901061975407,0.6333923372773878,0.03867815921162743
6.0,4.0,0.638,0.5930828631762184,0.6344963251393121,0.0511468474101777
6.0,5.0,0.7060000000000001,0.6665215029676455,0.7028367119895865,0.024979991993593572
7.0,1.0,0.46799999999999997,0.4903380579478724,0.4665354124995031,0.049152822909778036
7.0,2.0,0.526,0.5023189253971345,0.5262711274649783,0.05782732917920385
7.0,3.0,0.6799999999999999,0.6259260866094356,0.6712231652981733,0.02828427124746188
7.0,4.0,0.654,0.6113034565343501,0.6519062956570523,0.05919459434779494
7.0,5.0,0.664,0.6208846409553344,0.6606101022126822,0.04498888751680798
