window,nperseg,overlap_ratio,accuracy,f1_macro,f1_weighted,std_accuracy
blackman,64,0.25,0.99,0.9886978118942717,0.9899752355379949,0.008164965809277286
blackman,64,0.5,0.9833333333333334,0.9811004709635973,0.9832642510492328,0.018257418583505554
blackman,64,0.75,0.9799999999999999,0.9773956237885434,0.97995047107599,0.01632993161855453
blackman,128,0.25,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
blackman,128,0.5,1.0,1.0,1.0,0.0
blackman,128,0.75,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
blackman,256,0.25,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
blackman,256,0.5,0.9933333333333334,0.9924026590693258,0.9932890155112377,0.008164965809277286
blackman,256,0.75,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
blackman,512,0.25,1.0,1.0,1.0,0.0
blackman,512,0.5,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
blackman,512,0.75,0.9933333333333334,0.9924026590693258,0.9932890155112377,0.008164965809277286
hamming,64,0.25,0.9866666666666667,0.984794300074628,0.9865699233322263,0.012472191289246475
hamming,64,0.5,0.9866666666666667,0.984794300074628,0.9865699233322263,0.012472191289246475
hamming,64,0.75,0.9866666666666667,0.984794300074628,0.9865699233322263,0.012472191289246475
hamming,128,0.25,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
hamming,128,0.5,0.9933333333333334,0.9924026590693258,0.9932890155112377,0.008164965809277286
hamming,128,0.75,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
hamming,256,0.25,0.9933333333333334,0.9924026590693258,0.9932890155112377,0.008164965809277286
hamming,256,0.5,0.9933333333333334,0.9924026590693258,0.9932890155112377,0.008164965809277286
hamming,256,0.75,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
hamming,512,0.25,1.0,1.0,1.0,0.0
hamming,512,0.5,0.9933333333333334,0.9924964823596089,0.9933307277823762,0.008164965809277286
hamming,512,0.75,0.9933333333333334,0.9924026590693258,0.9932890155112377,0.008164965809277286
hanning,64,0.25,0.9866666666666667,0.984794300074628,0.9865699233322263,0.012472191289246475
hanning,64,0.5,0.9866666666666667,0.984794300074628,0.9865699233322263,0.012472191289246475
hanning,64,0.75,0.9833333333333334,0.9811004709635973,0.9832642510492328,0.018257418583505554
hanning,128,0.25,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
hanning,128,0.5,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
hanning,128,0.75,0.9933333333333334,0.9924026590693258,0.9932890155112377,0.008164965809277286
hanning,256,0.25,0.9933333333333334,0.9924026590693258,0.9932890155112377,0.008164965809277286
hanning,256,0.5,0.9933333333333334,0.9924026590693258,0.9932890155112377,0.008164965809277286
hanning,256,0.75,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
hanning,512,0.25,1.0,1.0,1.0,0.0
hanning,512,0.5,0.9933333333333334,0.9924964823596089,0.9933307277823762,0.008164965809277286
hanning,512,0.75,0.9933333333333334,0.9924026590693258,0.9932890155112377,0.008164965809277286
rectangular,64,0.25,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
rectangular,64,0.5,0.9833333333333332,0.981089452899574,0.9832561433589836,0.010540925533894595
rectangular,64,0.75,0.9833333333333332,0.9812669632139578,0.983332008983201,0.014907119849998594
rectangular,128,0.25,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
rectangular,128,0.5,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
rectangular,128,0.75,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
rectangular,256,0.25,0.9933333333333334,0.9924026590693258,0.9932890155112377,0.008164965809277286
rectangular,256,0.5,0.99,0.9886978118942717,0.9899752355379949,0.008164965809277286
rectangular,256,0.75,0.99,0.9886978118942717,0.9899752355379949,0.008164965809277286
rectangular,512,0.25,0.9933333333333334,0.9924026590693258,0.9932890155112377,0.008164965809277286
rectangular,512,0.5,0.9866666666666667,0.9849026590693256,0.986622348844571,0.012472191289246475
rectangular,512,0.75,0.99,0.9886978118942717,0.9899752355379949,0.008164965809277286
