window,nperseg,overlap_ratio,accuracy,f1_macro,f1_weighted,std_accuracy
blackman,64,0.25,0.9866666666666667,0.9849964823596089,0.9866640611157094,0.012472191289246475
blackman,64,0.5,0.9866666666666667,0.984794300074628,0.9865699233322263,0.012472191289246475
blackman,64,0.75,0.9866666666666667,0.984794300074628,0.9865699233322263,0.012472191289246475
blackman,128,0.25,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
blackman,128,0.5,1.0,1.0,1.0,0.0
blackman,128,0.75,1.0,1.0,1.0,0.0
blackman,256,0.25,0.9933333333333334,0.9925,0.9933333333333334,0.01333333333333333
blackman,256,0.5,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
blackman,256,0.75,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
blackman,512,0.25,0.9933333333333334,0.9925,0.9933333333333334,0.01333333333333333
blackman,512,0.5,0.9933333333333334,0.9925,0.9933333333333334,0.01333333333333333
blackman,512,0.75,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
hamming,64,0.25,0.99,0.9886978118942717,0.9899752355379949,0.008164965809277286
hamming,64,0.5,0.9866666666666667,0.984794300074628,0.9865699233322263,0.012472191289246475
hamming,64,0.75,0.99,0.9886978118942717,0.9899752355379949,0.008164965809277286
hamming,128,0.25,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
hamming,128,0.5,0.9933333333333334,0.9922978177150192,0.9932391955498503,0.01333333333333333
hamming,128,0.75,1.0,1.0,1.0,0.0
hamming,256,0.25,0.9933333333333334,0.9925,0.9933333333333334,0.01333333333333333
hamming,256,0.5,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
hamming,256,0.75,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
hamming,512,0.25,0.9933333333333334,0.9925,0.9933333333333334,0.01333333333333333
hamming,512,0.5,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
hamming,512,0.75,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
hanning,64,0.25,0.9833333333333334,0.9811004709635973,0.9832642510492328,0.018257418583505554
hanning,64,0.5,0.9866666666666667,0.984794300074628,0.9865699233322263,0.012472191289246475
hanning,64,0.75,0.9866666666666667,0.9849964823596089,0.9866640611157094,0.012472191289246475
hanning,128,0.25,0.9933333333333334,0.9922978177150192,0.9932391955498503,0.01333333333333333
hanning,128,0.5,0.9933333333333334,0.9922978177150192,0.9932391955498503,0.01333333333333333
hanning,128,0.75,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
hanning,256,0.25,0.9933333333333334,0.9925,0.9933333333333334,0.01333333333333333
hanning,256,0.5,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
hanning,256,0.75,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
hanning,512,0.25,0.9933333333333334,0.9925,0.9933333333333334,0.01333333333333333
hanning,512,0.5,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
hanning,512,0.75,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
rectangular,64,0.25,0.9933333333333334,0.9922978177150192,0.9932391955498503,0.01333333333333333
rectangular,64,0.5,0.99,0.9884991472496821,0.989883703305469,0.013333333333333336
rectangular,64,0.75,0.9933333333333334,0.9922978177150192,0.9932391955498503,0.01333333333333333
rectangular,128,0.25,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
rectangular,128,0.5,0.9966666666666667,0.9962951528249459,0.9966862200267572,0.006666666666666687
rectangular,128,0.75,0.9933333333333334,0.9922978177150192,0.9932391955498503,0.01333333333333333
rectangular,256,0.25,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
rectangular,256,0.5,0.9933333333333334,0.9924026590693258,0.9932890155112377,0.008164965809277286
rectangular,256,0.75,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
rectangular,512,0.25,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
rectangular,512,0.5,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
rectangular,512,0.75,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
