window,nperseg,overlap_ratio,accuracy,f1_macro,f1_weighted,std_accuracy
blackman,64,0.25,0.8039999999999999,0.8014584770737858,0.801458477073786,0.04270831300812524
blackman,64,0.5,0.8220000000000001,0.8210456657876428,0.8210456657876428,0.05035871324805668
blackman,64,0.75,0.8240000000000001,0.8229727615827864,0.8229727615827864,0.024166091947189123
blackman,128,0.25,0.86,0.8598039038988974,0.8598039038988976,0.0268328157299975
blackman,128,0.5,0.8480000000000001,0.848559991898609,0.8485599918986088,0.036551333764994136
blackman,128,0.75,0.858,0.8573967942790823,0.8573967942790823,0.04069397989875159
blackman,256,0.25,0.834,0.8341068920365574,0.8341068920365574,0.03929376540877701
blackman,256,0.5,0.842,0.8397959737363854,0.8397959737363854,0.043543082114154474
blackman,256,0.75,0.8480000000000001,0.8466772579449582,0.8466772579449582,0.04354308211415449
blackman,512,0.25,0.842,0.8374969318447734,0.8374969318447733,0.03969886648255841
blackman,512,0.5,0.852,0.8528924546458654,0.8528924546458654,0.03370459909270546
blackman,512,0.75,0.86,0.8580754500859836,0.8580754500859836,0.044271887242357304
hamming,64,0.25,0.8240000000000001,0.8230978450757217,0.8230978450757218,0.046733285782191686
hamming,64,0.5,0.8300000000000001,0.829664121231745,0.8296641212317452,0.03464101615137753
hamming,64,0.75,0.8219999999999998,0.8214113747781214,0.8214113747781215,0.03249615361854382
hamming,128,0.25,0.8559999999999999,0.8554362653605991,0.8554362653605991,0.04758150901348129
hamming,128,0.5,0.8560000000000001,0.8545844710635586,0.8545844710635586,0.05748043145279963
hamming,128,0.75,0.86,0.8599776951415544,0.8599776951415545,0.04195235392680606
hamming,256,0.25,0.8220000000000001,0.8217957870868842,0.8217957870868842,0.049152822909778016
hamming,256,0.5,0.852,0.851082877220007,0.851082877220007,0.03709447398198285
hamming,256,0.75,0.852,0.8513765141302567,0.8513765141302567,0.053065996645686404
hamming,512,0.25,0.8379999999999999,0.835990837839705,0.835990837839705,0.02135415650406261
hamming,512,0.5,0.86,0.8602842659465642,0.860284265946564,0.0409878030638384
hamming,512,0.75,0.866,0.8653132685659312,0.865313268565931,0.04223742416388571
hanning,64,0.25,0.808,0.8066036034739474,0.8066036034739476,0.029257477676655572
hanning,64,0.5,0.8100000000000002,0.8111469939867707,0.8111469939867707,0.04147288270665544
hanning,64,0.75,0.8140000000000001,0.8136324777941042,0.8136324777941042,0.030066592756745798
hanning,128,0.25,0.8540000000000001,0.853610529375446,0.853610529375446,0.03261901286060018
hanning,128,0.5,0.8559999999999999,0.8557798948731868,0.8557798948731868,0.0417612260356422
hanning,128,0.75,0.858,0.8570947083594135,0.8570947083594133,0.04534313619501853
hanning,256,0.25,0.8380000000000001,0.8372563956536849,0.8372563956536849,0.042142615011410964
hanning,256,0.5,0.844,0.8433610808152302,0.8433610808152302,0.03720215047547656
hanning,256,0.75,0.8480000000000001,0.845758796331323,0.845758796331323,0.041182520563948
hanning,512,0.25,0.834,0.8319087803403737,0.8319087803403737,0.03826225293941797
hanning,512,0.5,0.8540000000000001,0.853590318554963,0.853590318554963,0.03611094017053558
hanning,512,0.75,0.868,0.8663462998245135,0.8663462998245134,0.04261455150532503
rectangular,64,0.25,0.808,0.808121326553102,0.8081213265531018,0.046647615158762396
rectangular,64,0.5,0.818,0.8172453546846231,0.8172453546846231,0.03310589071449367
rectangular,64,0.75,0.812,0.8109510365636797,0.8109510365636797,0.02712931993250105
rectangular,128,0.25,0.806,0.8042853811428909,0.8042853811428909,0.0349857113690718
rectangular,128,0.5,0.8480000000000001,0.845915309955549,0.845915309955549,0.029257477676655576
rectangular,128,0.75,0.8119999999999999,0.8099340360252094,0.8099340360252094,0.0530659966456864
rectangular,256,0.25,0.8620000000000001,0.8604387964584399,0.8604387964584399,0.042614551505325046
rectangular,256,0.5,0.842,0.8405178868286599,0.8405178868286601,0.03969886648255842
rectangular,256,0.75,0.8360000000000001,0.8342406925500935,0.8342406925500935,0.05314132102234569
rectangular,512,0.25,0.8640000000000001,0.8633194461267191,0.8633194461267191,0.029393876913398162
rectangular,512,0.5,0.86,0.8589393890822208,0.8589393890822208,0.0340587727318528
rectangular,512,0.75,0.85,0.8492931264426622,0.8492931264426623,0.041952353926806074
