window,nperseg,overlap_ratio,accuracy,f1_macro,f1_weighted,std_accuracy
blackman,64,0.25,0.826,0.8234514783606344,0.8234514783606344,0.04498888751680796
blackman,64,0.5,0.8320000000000001,0.830388638665011,0.8303886386650111,0.037629775444453555
blackman,64,0.75,0.8260000000000002,0.8242147002539874,0.8242147002539874,0.041279534881100574
blackman,128,0.25,0.8520000000000001,0.8515610791255774,0.8515610791255774,0.0305941170815567
blackman,128,0.5,0.86,0.8591234653609667,0.8591234653609667,0.021908902300206663
blackman,128,0.75,0.8640000000000001,0.8628948224934133,0.8628948224934134,0.045869379764718866
blackman,256,0.25,0.8560000000000001,0.8546161546697245,0.8546161546697247,0.03136877428271624
blackman,256,0.5,0.86,0.8575911777126765,0.8575911777126762,0.03033150177620623
blackman,256,0.75,0.85,0.8485178679974098,0.8485178679974098,0.030331501776206197
blackman,512,0.25,0.8360000000000001,0.8325102186775146,0.8325102186775147,0.03498571136907178
blackman,512,0.5,0.8559999999999999,0.8536963741438821,0.8536963741438821,0.023323807579381222
blackman,512,0.75,0.8720000000000001,0.8698949746341691,0.8698949746341691,0.03249615361854383
hamming,64,0.25,0.826,0.8237111835623343,0.8237111835623345,0.03199999999999997
hamming,64,0.5,0.828,0.8257179121258925,0.8257179121258925,0.02712931993250105
hamming,64,0.75,0.8320000000000001,0.8302663152847348,0.8302663152847349,0.04955804677345546
hamming,128,0.25,0.866,0.865881034899753,0.865881034899753,0.028705400188814675
hamming,128,0.5,0.8620000000000001,0.8618056277240683,0.8618056277240683,0.038678159211627434
hamming,128,0.75,0.8619999999999999,0.8615273164588029,0.8615273164588029,0.04069397989875161
hamming,256,0.25,0.85,0.8483284464507752,0.8483284464507754,0.03346640106136302
hamming,256,0.5,0.858,0.8556681485169622,0.8556681485169623,0.02400000000000002
hamming,256,0.75,0.852,0.8503177000378752,0.8503177000378752,0.029933259094191526
hamming,512,0.25,0.8400000000000001,0.838225985236684,0.838225985236684,0.045607017003965515
hamming,512,0.5,0.866,0.8639748347024818,0.863974834702482,0.022449944320643667
hamming,512,0.75,0.8859999999999999,0.8848013496606869,0.8848013496606871,0.026532998322843223
hanning,64,0.25,0.828,0.8247556170857363,0.8247556170857363,0.038678159211627414
hanning,64,0.5,0.8320000000000001,0.8304291609182093,0.8304291609182093,0.03867815921162742
hanning,64,0.75,0.8460000000000001,0.8436782144407304,0.8436782144407304,0.03136877428271622
hanning,128,0.25,0.8620000000000001,0.8620451395587081,0.8620451395587081,0.043081318457076044
hanning,128,0.5,0.8619999999999999,0.8611147160125749,0.8611147160125749,0.036551333764994164
hanning,128,0.75,0.85,0.8488214680266329,0.8488214680266329,0.043358966777357594
hanning,256,0.25,0.852,0.8515037924231583,0.8515037924231583,0.02925747767665561
hanning,256,0.5,0.8539999999999999,0.852193753477556,0.8521937534775559,0.03611094017053559
hanning,256,0.75,0.8539999999999999,0.8525841100632846,0.8525841100632846,0.041761226035642196
hanning,512,0.25,0.8320000000000001,0.8292785010350807,0.8292785010350807,0.03969886648255841
hanning,512,0.5,0.86,0.8582115706196956,0.8582115706196956,0.024494897427831803
hanning,512,0.75,0.876,0.8744081502982419,0.8744081502982419,0.03440930106817054
rectangular,64,0.25,0.836,0.830382176677819,0.830382176677819,0.0300665927567458
rectangular,64,0.5,0.808,0.7993233716899775,0.7993233716899775,0.021354156504062593
rectangular,64,0.75,0.82,0.8144565640466268,0.8144565640466268,0.036878177829171535
rectangular,128,0.25,0.842,0.8386632260916823,0.8386632260916824,0.027129319932501044
rectangular,128,0.5,0.836,0.8319361429517643,0.8319361429517643,0.03006659275674581
rectangular,128,0.75,0.8300000000000001,0.8268219059146306,0.8268219059146306,0.03286335345030994
rectangular,256,0.25,0.852,0.8487222476423131,0.8487222476423131,0.029257477676655576
rectangular,256,0.5,0.8480000000000001,0.8451862264165559,0.8451862264165559,0.022271057451320107
rectangular,256,0.75,0.85,0.8467396181075368,0.8467396181075368,0.0303315017762062
rectangular,512,0.25,0.874,0.8716034089677829,0.8716034089677829,0.03555277766926239
rectangular,512,0.5,0.8700000000000001,0.8687480559177672,0.8687480559177674,0.0374165738677394
rectangular,512,0.75,0.8640000000000001,0.8618082779012248,0.8618082779012248,0.03136877428271627
