window,nperseg,overlap_ratio,accuracy,f1_macro,f1_weighted,std_accuracy
blackman,64,0.25,0.8099999999999999,0.80719446187341,0.80719446187341,0.037416573867739396
blackman,64,0.5,0.828,0.8268705471447808,0.8268705471447808,0.055641710972974226
blackman,64,0.75,0.828,0.8269012582730229,0.8269012582730231,0.04791659420284375
blackman,128,0.25,0.8460000000000001,0.8455037196528673,0.8455037196528673,0.034985711369071804
blackman,128,0.5,0.85,0.8495830552146174,0.8495830552146174,0.028284271247461926
blackman,128,0.75,0.8680000000000001,0.8673148206932128,0.8673148206932128,0.04707440918375929
blackman,256,0.25,0.8380000000000001,0.836421886524519,0.836421886524519,0.028565713714171395
blackman,256,0.5,0.8480000000000001,0.8469192815144956,0.8469192815144954,0.03249615361854384
blackman,256,0.75,0.85,0.8489204196444247,0.8489204196444249,0.03898717737923586
blackman,512,0.25,0.8280000000000001,0.8247100220841361,0.8247100220841361,0.03762977544445354
blackman,512,0.5,0.8400000000000001,0.8396424809723315,0.8396424809723314,0.04
blackman,512,0.75,0.874,0.8729508957241345,0.8729508957241345,0.04029888335921976
hamming,64,0.25,0.8,0.7993410499095784,0.7993410499095784,0.05932958789676532
hamming,64,0.5,0.8380000000000001,0.8361850416325145,0.8361850416325147,0.02315167380558042
hamming,64,0.75,0.8320000000000001,0.8301404465667923,0.8301404465667923,0.03544009029333869
hamming,128,0.25,0.86,0.8604717290779327,0.8604717290779327,0.054037024344425165
hamming,128,0.5,0.858,0.8580688984120934,0.8580688984120934,0.04534313619501853
hamming,128,0.75,0.866,0.8665920174549007,0.8665920174549007,0.039293765408777034
hamming,256,0.25,0.8399999999999999,0.8405384498317598,0.8405384498317596,0.03577708763999665
hamming,256,0.5,0.8480000000000001,0.8465004760952439,0.8465004760952437,0.03867815921162745
hamming,256,0.75,0.844,0.8430309789404635,0.8430309789404633,0.04079215610874227
hamming,512,0.25,0.8480000000000001,0.8473706149697995,0.8473706149697995,0.0499599839871872
hamming,512,0.5,0.8460000000000001,0.8454689484156601,0.8454689484156601,0.03261901286060018
hamming,512,0.75,0.882,0.8814219161340396,0.8814219161340396,0.029257477676655614
hanning,64,0.25,0.8140000000000001,0.8126899657500047,0.8126899657500049,0.04498888751680796
hanning,64,0.5,0.844,0.8429222155549289,0.842922215554929,0.04758150901348129
hanning,64,0.75,0.828,0.8264704567348984,0.8264704567348984,0.035999999999999976
hanning,128,0.25,0.85,0.8498444047250209,0.849844404725021,0.03577708763999664
hanning,128,0.5,0.874,0.874151506195749,0.874151506195749,0.036110940170535566
hanning,128,0.75,0.8619999999999999,0.8622801540407294,0.8622801540407297,0.04118252056394801
hanning,256,0.25,0.834,0.8341539260939805,0.8341539260939804,0.04127953488110058
hanning,256,0.5,0.836,0.8356007047115505,0.8356007047115505,0.04363484845854285
hanning,256,0.75,0.86,0.8597280625643764,0.8597280625643764,0.03847076812334272
hanning,512,0.25,0.8380000000000001,0.8369590556886422,0.8369590556886422,0.04578209256903838
hanning,512,0.5,0.8480000000000001,0.846634424807835,0.846634424807835,0.034292856398964476
hanning,512,0.75,0.858,0.8575327326980862,0.8575327326980862,0.03969886648255845
rectangular,64,0.25,0.8160000000000001,0.8124293738609323,0.8124293738609323,0.047581509013481266
rectangular,64,0.5,0.8039999999999999,0.8008289648760138,0.8008289648760138,0.03878143885933062
rectangular,64,0.75,0.818,0.8154592027198083,0.8154592027198081,0.03867815921162742
rectangular,128,0.25,0.8160000000000001,0.8129010153221277,0.8129010153221277,0.05748043145279966
rectangular,128,0.5,0.8539999999999999,0.8530754196893255,0.8530754196893255,0.05083306010855531
rectangular,128,0.75,0.8119999999999999,0.8102638039056016,0.8102638039056014,0.04166533331199931
rectangular,256,0.25,0.852,0.8507788474046981,0.8507788474046981,0.053065996645686404
rectangular,256,0.5,0.8280000000000001,0.8241484434194849,0.824148443419485,0.04118252056394799
rectangular,256,0.75,0.8299999999999998,0.8250220276577046,0.8250220276577046,0.050199601592044535
rectangular,512,0.25,0.8619999999999999,0.8611585022085663,0.8611585022085663,0.03370459909270546
rectangular,512,0.5,0.866,0.8661353564768198,0.86613535647682,0.028705400188814675
rectangular,512,0.75,0.8540000000000001,0.853284917288893,0.853284917288893,0.02939387691339813
