window,nperseg,overlap_ratio,accuracy,f1_macro,f1_weighted,std_accuracy
blackman,64,0.25,0.958,0.9567731103623958,0.9579013658727172,0.011661903789690611
blackman,64,0.5,0.9720000000000001,0.9685953024114466,0.972087996331578,0.013266499161421611
blackman,64,0.75,0.9640000000000001,0.9617629346679808,0.9640276095136648,0.018547236990991384
blackman,128,0.25,0.9640000000000001,0.9613419928296911,0.9642296907954166,0.018547236990991384
blackman,128,0.5,0.96,0.9570837390293978,0.9601418535985953,0.012649110640673528
blackman,128,0.75,0.9700000000000001,0.9670728117357736,0.9701775213340513,0.014142135623730963
blackman,256,0.25,0.9720000000000001,0.9696360511853482,0.9722817487545126,0.014696938456699083
blackman,256,0.5,0.9559999999999998,0.9560941016681616,0.9561574032909718,0.020591260281973982
blackman,256,0.75,0.968,0.9675423697456752,0.9680377292953031,0.00979795897113272
blackman,512,0.25,0.968,0.9667825825457775,0.9680538860223515,0.019390719429665332
blackman,512,0.5,0.968,0.967553704510822,0.9680938387838431,0.01939071942966529
blackman,512,0.75,0.96,0.9600154874932549,0.9600271617809705,0.016733200530681485
hamming,64,0.25,0.97,0.9684334650353197,0.970026170728884,0.010954451150103331
hamming,64,0.5,0.97,0.9676620739088083,0.9700296535257349,0.012649110640673528
hamming,64,0.75,0.9639999999999999,0.962735043257841,0.9639787622703284,0.014966629547095779
hamming,128,0.25,0.97,0.9659521531223845,0.9700358455238443,0.010954451150103333
hamming,128,0.5,0.9640000000000001,0.9615430551761344,0.9643498942705652,0.018547236990991423
hamming,128,0.75,0.966,0.9624005342892481,0.9663080213549657,0.013564659966250548
hamming,256,0.25,0.976,0.9743860531072741,0.9761604753427809,0.01200000000000001
hamming,256,0.5,0.9640000000000001,0.9636077575991958,0.9641981806521155,0.024166091947189126
hamming,256,0.75,0.9719999999999999,0.9716402166374001,0.9719795358092753,0.013266499161421611
hamming,512,0.25,0.9639999999999999,0.9627582399228538,0.9641927611317614,0.01019803902718558
hamming,512,0.5,0.962,0.962507396941424,0.9620883009701092,0.01720465053408523
hamming,512,0.75,0.9700000000000001,0.9691341387777849,0.9700403911737423,0.02529822128134701
hanning,64,0.25,0.966,0.9626896424800442,0.9659616011734979,0.018547236990991426
hanning,64,0.5,0.966,0.9645371090208117,0.9661412411858933,0.016248076809271934
hanning,64,0.75,0.962,0.9600871635183946,0.9618782296599158,0.02039607805437116
hanning,128,0.25,0.962,0.9595046026523306,0.9622035468645415,0.01720465053408523
hanning,128,0.5,0.968,0.9660986700132671,0.9681628853050984,0.017204650534085267
hanning,128,0.75,0.966,0.9621489187594982,0.9662223921550875,0.01019803902718558
hanning,256,0.25,0.976,0.9743860531072741,0.9761604753427809,0.01200000000000001
hanning,256,0.5,0.9620000000000001,0.9610703720066114,0.9621289276971116,0.022271057451320065
hanning,256,0.75,0.968,0.9674867857468076,0.967971028496662,0.007483314773547889
hanning,512,0.25,0.962,0.9610839073362593,0.9621014115405865,0.02315167380558044
hanning,512,0.5,0.9640000000000001,0.9641003744037946,0.9639998739249538,0.018547236990991384
hanning,512,0.75,0.966,0.9658190922784359,0.9660623353745234,0.024166091947189123
rectangular,64,0.25,0.968,0.9649562505427658,0.9680728139345269,0.0248193472919817
rectangular,64,0.5,0.968,0.9656373703211154,0.9679057736315307,0.0248193472919817
rectangular,64,0.75,0.97,0.966662007265467,0.9700157096256122,0.016733200530681523
rectangular,128,0.25,0.9739999999999999,0.9709204957379978,0.9739922925537827,0.008000000000000007
rectangular,128,0.5,0.96,0.9577102647783692,0.9600503414157877,0.008944271909999166
rectangular,128,0.75,0.962,0.9609643836801502,0.9620017417053581,0.007483314773547889
rectangular,256,0.25,0.9639999999999999,0.9625906213046385,0.9640032581242874,0.013564659966250548
rectangular,256,0.5,0.966,0.9674810938740134,0.9659541731866522,0.008000000000000007
rectangular,256,0.75,0.962,0.9624811686688413,0.9619090561147509,0.014696938456699083
rectangular,512,0.25,0.9639999999999999,0.9635236286333818,0.9640972258931386,0.017435595774162666
rectangular,512,0.5,0.968,0.9683411612254534,0.9680631770853033,0.024819347291981694
rectangular,512,0.75,0.966,0.9666856163042639,0.9660765231798758,0.02870540018881463
