window,nperseg,overlap_ratio,accuracy,f1_macro,f1_weighted,std_accuracy
blackman,64,0.25,0.968,0.966665069830313,0.9679566293158967,0.016000000000000014
blackman,64,0.5,0.966,0.9625951896460698,0.9660214642519923,0.01019803902718558
blackman,64,0.75,0.9720000000000001,0.968391156168934,0.9719814753148087,0.007483314773547889
blackman,128,0.25,0.968,0.9657322031413107,0.9679168114213479,0.017204650534085267
blackman,128,0.5,0.968,0.9666673758308694,0.9679593965165644,0.017204650534085267
blackman,128,0.75,0.968,0.966624419423809,0.9679078488280917,0.011661903789690611
blackman,256,0.25,0.966,0.96502373114925,0.9659870228986213,0.013564659966250548
blackman,256,0.5,0.9600000000000002,0.96081956408326,0.9599664126633357,0.016733200530681523
blackman,256,0.75,0.9640000000000001,0.9633570644825834,0.9639870228986214,0.01019803902718558
blackman,512,0.25,0.966,0.9650023536102916,0.9659613698518712,0.01743559577416271
blackman,512,0.5,0.966,0.9650559795988769,0.9659792634307403,0.013564659966250548
blackman,512,0.75,0.962,0.9617635293674514,0.9620747807604628,0.018330302779823338
hamming,64,0.25,0.966,0.9649677156697727,0.9659198043232484,0.014966629547095779
hamming,64,0.5,0.966,0.9641427152575297,0.9659541940724591,0.01200000000000001
hamming,64,0.75,0.966,0.9641285856671491,0.9659372385640024,0.013564659966250548
hamming,128,0.25,0.9640000000000001,0.9616485210901489,0.9639455451086182,0.01743559577416271
hamming,128,0.5,0.966,0.9650007091642028,0.9659593965165645,0.014966629547095779
hamming,128,0.75,0.968,0.966624419423809,0.9679078488280917,0.011661903789690611
hamming,256,0.25,0.9640000000000001,0.9633959298032572,0.9640336612834298,0.013564659966250548
hamming,256,0.5,0.9640000000000001,0.964139459343569,0.9639502869757063,0.016248076809271934
hamming,256,0.75,0.9620000000000001,0.9616698216842294,0.9619623315405967,0.013266499161421611
hamming,512,0.25,0.9600000000000002,0.95918642909518,0.9599114125824016,0.014142135623730963
hamming,512,0.5,0.962,0.9617635293674514,0.9620747807604628,0.018330302779823338
hamming,512,0.75,0.962,0.9617635293674514,0.9620747807604628,0.018330302779823338
hanning,64,0.25,0.9640000000000001,0.9632533753446777,0.9638625959331346,0.014966629547095779
hanning,64,0.5,0.958,0.9558591420702769,0.9580766616352865,0.023999999999999987
hanning,64,0.75,0.9640000000000001,0.9616718035325593,0.9639182521511593,0.01019803902718558
hanning,128,0.25,0.9639999999999999,0.9624595944892983,0.9639896810389328,0.021540659228538
hanning,128,0.5,0.966,0.9650007091642028,0.9659593965165645,0.014966629547095779
hanning,128,0.75,0.968,0.966624419423809,0.9679078488280917,0.011661903789690611
hanning,256,0.25,0.9640000000000001,0.9633959298032572,0.9640336612834298,0.013564659966250548
hanning,256,0.5,0.966,0.9658647660553257,0.9660206550298142,0.01743559577416271
hanning,256,0.75,0.9640000000000001,0.9633570644825834,0.9639870228986214,0.01019803902718558
hanning,512,0.25,0.962,0.961664169160996,0.9619555485127165,0.021354156504062607
hanning,512,0.5,0.966,0.9658647660553257,0.9660206550298142,0.01743559577416271
hanning,512,0.75,0.962,0.9617635293674514,0.9620747807604628,0.018330302779823338
rectangular,64,0.25,0.9620000000000001,0.9600531787630994,0.9620311343161585,0.019390719429665332
rectangular,64,0.5,0.966,0.9658062193850775,0.9658490857046911,0.013564659966250548
rectangular,64,0.75,0.97,0.9685077062486298,0.9700200220896182,0.012649110640673528
rectangular,128,0.25,0.966,0.9641401579629392,0.9658558872237124,0.01019803902718558
rectangular,128,0.5,0.966,0.964910079098714,0.9658506404379779,0.01200000000000001
rectangular,128,0.75,0.966,0.964943128955612,0.9658438426588225,0.013564659966250548
rectangular,256,0.25,0.9579999999999999,0.9574720887700853,0.9578542041922878,0.013266499161421611
rectangular,256,0.5,0.9579999999999999,0.9575214068746023,0.9579133859177084,0.013266499161421611
rectangular,256,0.75,0.9579999999999999,0.9582783744879384,0.9578461372976141,0.017204650534085267
rectangular,512,0.25,0.9639999999999999,0.9641798101996724,0.9639987080030302,0.020591260281973982
rectangular,512,0.5,0.966,0.9658053246029645,0.9659493252869809,0.01743559577416271
rectangular,512,0.75,0.96,0.9599801946992438,0.9599347791586137,0.012649110640673528
