window,nperseg,overlap_ratio,accuracy,f1_macro,f1_weighted,std_accuracy
blackman,64,0.25,0.96,0.9585706077434066,0.9599557986273661,0.014142135623730963
blackman,64,0.5,0.9719999999999999,0.9700438054240668,0.9720111120284013,0.007483314773547889
blackman,64,0.75,0.974,0.9700357030175905,0.9739549315331966,0.00489897948556636
blackman,128,0.25,0.97,0.9692225452424074,0.9700499900543125,0.020976176963403006
blackman,128,0.5,0.96,0.9586178448138586,0.9600315610277533,0.017888543819998295
blackman,128,0.75,0.976,0.9732958770374296,0.9759623784522417,0.01356465996625055
blackman,256,0.25,0.966,0.9633644815197041,0.9660511552315174,0.016248076809271934
blackman,256,0.5,0.9579999999999999,0.9575520288888612,0.958045370430057,0.009797958971132722
blackman,256,0.75,0.9579999999999999,0.9576142715190065,0.9580248234909934,0.017204650534085233
blackman,512,0.25,0.9579999999999999,0.9568121477062851,0.9580843422792584,0.020396078054371124
blackman,512,0.5,0.958,0.9576673671317542,0.9580953531168264,0.020396078054371127
blackman,512,0.75,0.962,0.9625196217887722,0.9621029707869269,0.022271057451320065
hamming,64,0.25,0.9659999999999999,0.9659567676257301,0.9660297435934744,0.0195959179422654
hamming,64,0.5,0.9639999999999999,0.9616872806133399,0.9639368246480959,0.010198039027185577
hamming,64,0.75,0.9639999999999999,0.9616140763396454,0.9638489795196621,0.01200000000000001
hamming,128,0.25,0.968,0.9675238268886135,0.9680115280297598,0.027856776554368225
hamming,128,0.5,0.9640000000000001,0.9620594320701656,0.9641150081278884,0.01743559577416271
hamming,128,0.75,0.968,0.9661626865392737,0.9681097613421539,0.017204650534085267
hamming,256,0.25,0.968,0.9675536116682217,0.9680472697652898,0.017204650534085267
hamming,256,0.5,0.958,0.9583896368078729,0.9580261096889687,0.0213541565040626
hamming,256,0.75,0.968,0.96821223366299,0.9679084640103474,0.016000000000000014
hamming,512,0.25,0.954,0.9522382357486684,0.9543199814525234,0.022449944320643647
hamming,512,0.5,0.9620000000000001,0.9625196217887722,0.9621029707869269,0.022271057451320065
hamming,512,0.75,0.962,0.9624655672076662,0.9620381052895999,0.01720465053408523
hanning,64,0.25,0.968,0.966796620760392,0.9679654687219943,0.019390719429665335
hanning,64,0.5,0.9620000000000001,0.96163486926534,0.961973118962803,0.013266499161421611
hanning,64,0.75,0.966,0.9634454019534744,0.9658555829489905,0.014966629547095779
hanning,128,0.25,0.962,0.9601897473248171,0.9620013302276227,0.019390719429665297
hanning,128,0.5,0.968,0.9667490845416925,0.9679677729831113,0.017204650534085267
hanning,128,0.75,0.968,0.9660579805137253,0.9681140579056484,0.014696938456699083
hanning,256,0.25,0.97,0.9690531018424707,0.969997127957978,0.017888543819998333
hanning,256,0.5,0.9559999999999998,0.9567480767624845,0.9560562376345028,0.020591260281973982
hanning,256,0.75,0.9560000000000001,0.9559263658358299,0.9559993366711815,0.0195959179422654
hanning,512,0.25,0.9559999999999998,0.9547098469116821,0.9562602738224987,0.024166091947189133
hanning,512,0.5,0.96,0.9608529551221053,0.960102970786927,0.021908902300206624
hanning,512,0.75,0.96,0.9608286499080982,0.9600738045301183,0.020976176963403006
rectangular,64,0.25,0.96,0.9568108436422271,0.9601598711796349,0.024494897427831768
rectangular,64,0.5,0.958,0.9555228629801548,0.9578235967107294,0.0213541565040626
rectangular,64,0.75,0.958,0.9538097900267314,0.9578343856361787,0.0213541565040626
rectangular,128,0.25,0.966,0.9640723899945123,0.9658785780377566,0.014966629547095779
rectangular,128,0.5,0.9579999999999999,0.9567924533806098,0.9580198155898121,0.015999999999999973
rectangular,128,0.75,0.958,0.9583648427368331,0.957996356803721,0.01939071942966529
rectangular,256,0.25,0.9559999999999998,0.9551576340664656,0.9560128255871444,0.0162480768092719
rectangular,256,0.5,0.966,0.9657997111727686,0.965942589170746,0.022449944320643633
rectangular,256,0.75,0.9639999999999999,0.9641538605395763,0.963967568410915,0.019595917942265405
rectangular,512,0.25,0.962,0.9615990879250422,0.961981463405728,0.019390719429665297
rectangular,512,0.5,0.9640000000000001,0.9641683346442325,0.9639849373365024,0.024166091947189126
rectangular,512,0.75,0.962,0.9641745468663308,0.9620375988287151,0.027856776554368225
