m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,0.9033333333333333,0.8926892641070397,0.9035946888883462,0.02449489742783177
1.0,0.15,0.9400000000000001,0.9315653765959325,0.939504900114747,0.016996731711975955
1.0,0.2,0.9200000000000002,0.9099464639580919,0.9198777908855428,0.032317865716108854
1.0,0.25,0.9,0.8884284485965044,0.9003539148407592,0.027888667551135834
1.0,0.3,0.9066666666666666,0.893219606281398,0.9057134360238454,0.03590109871423003
2.0,0.1,0.9533333333333334,0.9469033459888948,0.9530307982000623,0.02449489742783178
2.0,0.15,0.9400000000000001,0.9327400914961377,0.9400943856715529,0.01699673171197595
2.0,0.2,0.9400000000000001,0.93220907117535,0.9398406161045976,0.02905932629027116
2.0,0.25,0.9766666666666666,0.973679758549466,0.976628583412498,0.016996731711975955
2.0,0.3,0.9666666666666666,0.9625585983985128,0.9666822901256674,0.010540925533894595
3.0,0.1,0.97,0.9665152752827607,0.9700990009511952,0.012472191289246462
3.0,0.15,0.96,0.9553374324268118,0.9601387034936485,0.022607766610417565
3.0,0.2,0.96,0.9543036126380157,0.959678770966747,0.022607766610417565
3.0,0.25,0.9666666666666666,0.9620132953466287,0.9664450775561887,0.029814239699997205
3.0,0.3,0.9433333333333334,0.9354091118643681,0.9429194548726336,0.0270801280154532
