m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,0.8866666666666667,0.8732706686709509,0.8868156271760268,0.01943650631615102
1.0,0.15,0.9033333333333333,0.8900332383665717,0.9026979604757382,0.02666666666666667
1.0,0.2,0.8933333333333333,0.8775599248480184,0.8920006117180698,0.03265986323710904
1.0,0.25,0.9,0.887106247154837,0.8997073232937188,0.038005847503304595
1.0,0.3,0.8699999999999999,0.8506753299909622,0.8685177007759425,0.043969686527576365
2.0,0.1,0.95,0.9434560052792884,0.9498518546192273,0.02357022603955158
2.0,0.15,0.9466666666666667,0.9393478485757821,0.9463508558905398,0.01943650631615101
2.0,0.2,0.9233333333333335,0.9138699758655836,0.9233247961160658,0.024944382578492935
2.0,0.25,0.9566666666666667,0.9506890711128536,0.9564040977136854,0.030912061651652348
2.0,0.3,0.96,0.9551242320778076,0.9600364580199162,0.016996731711975938
3.0,0.1,0.97,0.9664484563115827,0.9700774378624194,0.02449489742783177
3.0,0.15,0.96,0.9553777337794314,0.9601404233296311,0.022607766610417565
3.0,0.2,0.9433333333333334,0.9363713879132733,0.9433815712097762,0.03431876713662333
3.0,0.25,0.9333333333333333,0.9250924112425933,0.9333182705107614,0.03162277660168381
3.0,0.3,0.9233333333333335,0.9136407725949592,0.9232388750151888,0.008164965809277286
