m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,0.9100000000000001,0.8963997274718032,0.9088041023387999,0.02000000000000001
1.0,0.15,0.9166666666666666,0.9056862834275883,0.9163208733792366,0.010540925533894595
1.0,0.2,0.9033333333333335,0.8881766144649041,0.9017170061606942,0.028674417556808735
1.0,0.25,0.9066666666666666,0.8939400089117537,0.9060540557437854,0.03431876713662334
1.0,0.3,0.9,0.8856757570514923,0.8990696016142277,0.033333333333333326
2.0,0.1,0.9433333333333334,0.9356081931639488,0.9430112448399719,0.02000000000000001
2.0,0.15,0.95,0.9432789116198956,0.9497762467298225,0.014907119849998594
2.0,0.2,0.9366666666666668,0.9280771944777648,0.9363490666503834,0.03231786571610885
2.0,0.25,0.9800000000000001,0.9772943000746281,0.9799032566655596,0.012472191289246462
2.0,0.3,0.9666666666666666,0.9622762467298223,0.9665566045400628,0.010540925533894595
3.0,0.1,0.9800000000000001,0.9774964823596088,0.9799973944490427,0.012472191289246462
3.0,0.15,0.9666666666666666,0.962478429014803,0.9666507423235459,0.010540925533894595
3.0,0.2,0.95,0.9435934356828153,0.9499257066139849,0.010540925533894595
3.0,0.25,0.9366666666666668,0.9288128495754349,0.9366438491334976,0.02867441755680873
3.0,0.3,0.9433333333333334,0.9365625521342308,0.9434676013030101,0.022607766610417544
