m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,0.418,0.4133426438315085,0.4133426438315085,0.015999999999999986
1.0,0.15,0.446,0.4438446883008801,0.4438446883008801,0.043174066289845804
1.0,0.2,0.418,0.4112622414237384,0.4112622414237384,0.03544009029333869
1.0,0.25,0.43200000000000005,0.4299597418534164,0.4299597418534164,0.07678541528180988
1.0,0.3,0.406,0.399825259965865,0.39982525996586493,0.028705400188814654
2.0,0.1,0.45600000000000007,0.4488781949314472,0.4488781949314472,0.044090815370097194
2.0,0.15,0.44800000000000006,0.4388017745089986,0.4388017745089986,0.03310589071449369
2.0,0.2,0.434,0.4162314136763108,0.4162314136763108,0.0431740662898458
2.0,0.25,0.438,0.4279738609073617,0.4279738609073617,0.041665333311999314
2.0,0.3,0.4600000000000001,0.4520739442671132,0.4520739442671132,0.04335896677735761
3.0,0.1,0.42600000000000005,0.413849293090096,0.413849293090096,0.056071383075504744
3.0,0.15,0.518,0.5124028208869047,0.5124028208869047,0.022271057451320107
3.0,0.2,0.44800000000000006,0.438477323772526,0.438477323772526,0.029933259094191516
3.0,0.25,0.4,0.3881798881788771,0.3881798881788771,0.05176871642217914
3.0,0.3,0.45200000000000007,0.4472566250267884,0.4472566250267884,0.037094473981982824
