m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,0.4,0.3975312539102638,0.3975312539102638,0.01788854381999831
1.0,0.15,0.426,0.42475244851508104,0.42475244851508104,0.05314132102234569
1.0,0.2,0.396,0.394234053406788,0.394234053406788,0.041761226035642196
1.0,0.25,0.406,0.4043013166279703,0.4043013166279702,0.03382306905057551
1.0,0.3,0.382,0.3750381669951985,0.3750381669951985,0.02785677655436823
2.0,0.1,0.374,0.36360009563557893,0.36360009563557893,0.050833060108555345
2.0,0.15,0.434,0.4242061396602247,0.4242061396602247,0.059531504264548875
2.0,0.2,0.37399999999999994,0.3665579032223752,0.3665579032223752,0.01200000000000001
2.0,0.25,0.442,0.43856528368128583,0.43856528368128594,0.04749736834815167
2.0,0.3,0.426,0.41978743716387135,0.41978743716387135,0.028000000000000004
3.0,0.1,0.4,0.3933362579022697,0.3933362579022697,0.05366563145999496
3.0,0.15,0.46799999999999997,0.4632423250763066,0.4632423250763066,0.027856776554368246
3.0,0.2,0.38400000000000006,0.3801514995681923,0.3801514995681923,0.008000000000000007
3.0,0.25,0.398,0.3939490777760464,0.3939490777760464,0.017204650534085247
3.0,0.3,0.392,0.38914597082109104,0.38914597082109104,0.017204650534085257
