m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,0.40800000000000003,0.4023458683610456,0.4023458683610455,0.032496153618543855
1.0,0.15,0.442,0.43648542742584545,0.43648542742584545,0.02712931993250106
1.0,0.2,0.41600000000000004,0.41217668126456763,0.41217668126456763,0.018547236990991398
1.0,0.25,0.41600000000000004,0.41128829612386086,0.41128829612386086,0.036110940170535566
1.0,0.3,0.42400000000000004,0.4151865307223005,0.4151865307223005,0.020591260281974
2.0,0.1,0.41600000000000004,0.40897169859178933,0.40897169859178933,0.03382306905057553
2.0,0.15,0.454,0.44522813774581105,0.44522813774581105,0.05713142742834282
2.0,0.2,0.41000000000000003,0.403628288438547,0.403628288438547,0.046043457732885346
2.0,0.25,0.458,0.45230325154585993,0.45230325154585993,0.04534313619501855
2.0,0.3,0.446,0.4387720895707911,0.4387720895707911,0.05425863986500217
3.0,0.1,0.42000000000000004,0.4117490539217016,0.4117490539217016,0.049799598391954934
3.0,0.15,0.49399999999999994,0.4921305310714218,0.49213053107142174,0.03611094017053559
3.0,0.2,0.42400000000000004,0.41662968735528116,0.41662968735528116,0.04029888335921976
3.0,0.25,0.406,0.3899139622603692,0.3899139622603692,0.03440930106817049
3.0,0.3,0.446,0.4431322810268387,0.4431322810268387,0.03979949748426479
