m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,0.702,0.6289128002471073,0.6921407384477891,0.034871191548325395
1.0,0.15,0.726,0.6384542119799088,0.7076762764308973,0.014966629547095779
1.0,0.2,0.712,0.6419417109687008,0.7025902172774146,0.013266499161421611
1.0,0.25,0.682,0.5953556935272459,0.6707213972331425,0.0312409987036266
1.0,0.3,0.676,0.5795740520381759,0.6598221957791444,0.01743559577416266
2.0,0.1,0.606,0.5881195215155193,0.6002461601042779,0.054626001134990665
2.0,0.15,0.618,0.5968597183383411,0.6158248121919254,0.052687759489277945
2.0,0.2,0.62,0.590072131328421,0.6157442199771805,0.04857983120596448
2.0,0.25,0.702,0.668387246162198,0.696340425670368,0.03709447398198281
2.0,0.3,0.69,0.6281424395663251,0.6778311612394903,0.03405877273185279
3.0,0.1,0.676,0.6756494323358991,0.6718372168314518,0.02939387691339811
3.0,0.15,0.668,0.6484939289243572,0.6662074013077076,0.019390719429665297
3.0,0.2,0.632,0.5977523553973964,0.6276731733633516,0.03370459909270546
3.0,0.25,0.66,0.6275660164294726,0.6549917384319228,0.026832815729997458
3.0,0.3,0.6900000000000001,0.6478007628810845,0.6833794499902672,0.030331501776206186
