m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,0.674,0.5995477029406571,0.6655311696027145,0.017435595774162687
1.0,0.15,0.694,0.6285470494141786,0.6905359342080682,0.030724582991474413
1.0,0.2,0.6900000000000001,0.6248728005535923,0.6873672690325163,0.055497747702046435
1.0,0.25,0.6439999999999999,0.5618826745152595,0.6367070550578079,0.03611094017053558
1.0,0.3,0.682,0.5908525288806109,0.6686042312379297,0.015999999999999966
2.0,0.1,0.5780000000000001,0.5769764832621634,0.5776569387289172,0.03919183588453084
2.0,0.15,0.632,0.60672632034665,0.626539604761208,0.04445222154178575
2.0,0.2,0.59,0.5584661868883134,0.5862145273328438,0.026076809620810618
2.0,0.25,0.6759999999999999,0.6404222270698717,0.6723291245415923,0.034985711369071804
2.0,0.3,0.646,0.5951696807577527,0.6393335903841042,0.008000000000000007
3.0,0.1,0.6459999999999999,0.6442322475679088,0.6443409511065351,0.026532998322843185
3.0,0.15,0.65,0.6342714269527766,0.6481316888229927,0.029664793948382652
3.0,0.2,0.6060000000000001,0.5746336664510302,0.602590480227865,0.021540659228538036
3.0,0.25,0.6020000000000001,0.567911458166304,0.5973926920147934,0.038678159211627434
3.0,0.3,0.642,0.601209133181169,0.6392502939771428,0.041182520563947986
