m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy
1.0,0.1,0.6980000000000001,0.6275056056217408,0.6892874777849127,0.01939071942966529
1.0,0.15,0.7,0.6265872354730021,0.6877554306764152,0.03687817782917154
1.0,0.2,0.708,0.6403904868558817,0.7020876318461057,0.03187475490101843
1.0,0.25,0.6679999999999999,0.5742109362732022,0.6524566371467623,0.03867815921162742
1.0,0.3,0.694,0.6057881137626921,0.6794519624038095,0.013564659966250508
2.0,0.1,0.614,0.6055490133380355,0.6118120861589128,0.04270831300812524
2.0,0.15,0.6439999999999999,0.6227563482932368,0.6416665923108585,0.05314132102234569
2.0,0.2,0.63,0.5930739984791579,0.6252282848666499,0.04195235392680606
2.0,0.25,0.7,0.6720220943072293,0.6956343813239118,0.034058772731852795
2.0,0.3,0.682,0.6157218214869467,0.6695742950003363,0.044452221541785734
3.0,0.1,0.662,0.6588397667887829,0.657123053382364,0.04019950248448355
3.0,0.15,0.6460000000000001,0.6266778852432863,0.6439829388288142,0.0344093010681705
3.0,0.2,0.648,0.6160511102793765,0.6407070202878522,0.03969886648255842
3.0,0.25,0.662,0.6267249272414747,0.6559487258368752,0.03815756805667783
3.0,0.3,0.64,0.6053173186998061,0.6385029259736755,0.026076809620810618
