feature,task,n_combos,best_acc,worst_acc,mean_acc,acc_range,best_f1_macro,elapsed_sec
lzc,binary,6,0.91,0.8233,0.8678,0.0867,0.8976,0.2
lzc,ternary,6,0.718,0.65,0.6873,0.068,0.6135,5.1
lzc,five,6,0.4,0.33,0.3487,0.07,0.3916,8.3
hurst,binary,12,0.9133,0.5267,0.6769,0.3867,0.9035,2.5
hurst,ternary,12,0.712,0.522,0.6413,0.19,0.6393,8.3
hurst,five,12,0.48,0.354,0.4277,0.126,0.4732,12.8
sampen,binary,15,0.9767,0.9,0.9431,0.0767,0.9737,3.1
sampen,ternary,15,0.726,0.606,0.6707,0.12,0.6756,11.8
sampen,five,15,0.518,0.4,0.44,0.118,0.5124,15.8
apen,binary,15,0.95,0.83,0.8916,0.12,0.9436,3.7
apen,ternary,15,0.752,0.524,0.6376,0.228,0.6898,14.8
apen,five,15,0.486,0.36,0.4075,0.126,0.4773,16.4
permen,binary,25,0.9267,0.8233,0.8579,0.1033,0.917,5.5
permen,ternary,25,0.752,0.496,0.625,0.256,0.6808,16.0
permen,five,25,0.462,0.334,0.4027,0.128,0.4514,26.6
fuzzen,binary,27,0.9567,0.6633,0.7848,0.2933,0.9514,5.9
fuzzen,ternary,27,0.766,0.622,0.6895,0.144,0.7503,15.6
fuzzen,five,27,0.524,0.356,0.4302,0.168,0.5202,27.7
hjorth,binary,6,0.99,0.98,0.9861,0.01,0.9888,1.5
hjorth,ternary,6,0.966,0.946,0.955,0.02,0.9673,4.3
hjorth,five,6,0.816,0.778,0.8013,0.038,0.8159,8.3
psd,binary,48,1.0,0.6667,0.9108,0.3333,1.0,8.1
psd,ternary,48,0.976,0.4,0.8245,0.576,0.9744,26.0
psd,five,48,0.874,0.2,0.6814,0.674,0.8733,47.1
dwt,binary,36,0.9967,0.9867,0.9916,0.01,0.9962,7.8
dwt,ternary,36,0.978,0.956,0.9682,0.022,0.9775,25.0
dwt,five,36,0.894,0.824,0.8681,0.07,0.894,48.2
