feature,task,param_pair,param_1,param_2,interaction_rmse,interaction_max_abs,n_cells,anova_F,anova_p,anova_partial_eta_sq,anova_significant
apen,binary,m x r_multiplier,m,r_multiplier,0.0266,0.0431,15,,,,
apen,ternary,m x r_multiplier,m,r_multiplier,0.0132,0.0323,15,,,,
apen,five,m x r_multiplier,m,r_multiplier,0.0184,0.0376,15,,,,
dwt,binary,wavelet x level,wavelet,level,0.0016,0.0037,36,,,,
dwt,ternary,wavelet x level,wavelet,level,0.0037,0.0088,36,,,,
dwt,five,wavelet x level,wavelet,level,0.009,0.0224,36,,,,
fuzzen,binary,m x r_multiplier,m,r_multiplier,0.0095,0.017,9,0.0635,0.9919015453371912,0.0123,False
fuzzen,binary,m x n,m,n,0.0407,0.063,9,9.9743,0.0001954285733312734,0.2276,True
fuzzen,binary,r_multiplier x n,r_multiplier,n,0.015,0.027,9,0.4037,0.8034818256817168,0.031,False
fuzzen,ternary,m x r_multiplier,m,r_multiplier,0.0048,0.0093,9,0.1255,0.9713497022119275,0.0114,False
fuzzen,ternary,m x n,m,n,0.0252,0.0425,9,43.0672,5.552653878429421e-09,0.3103,True
fuzzen,ternary,r_multiplier x n,r_multiplier,n,0.0021,0.0037,9,0.0106,0.9997525076325844,0.0022,False
fuzzen,five,m x r_multiplier,m,r_multiplier,0.0052,0.0089,9,0.1167,0.9748673452139199,0.0119,False
fuzzen,five,m x n,m,n,0.0306,0.0509,9,34.0757,3.5802820378737384e-08,0.4091,True
fuzzen,five,r_multiplier x n,r_multiplier,n,0.0022,0.0036,9,0.0093,0.9998121016981062,0.002,False
hurst,binary,method x min_window,method,min_window,0.0197,0.0342,12,,,,
hurst,ternary,method x min_window,method,min_window,0.0166,0.0273,12,,,,
hurst,five,method x min_window,method,min_window,0.0142,0.0303,12,,,,
lzc,binary,threshold x multiscale,threshold,multiscale,0.0188,0.0261,6,,,,
lzc,ternary,threshold x multiscale,threshold,multiscale,0.0158,0.0223,6,,,,
lzc,five,threshold x multiscale,threshold,multiscale,0.0127,0.0163,6,,,,
permen,binary,order x delay,order,delay,0.0166,0.0379,25,,,,
permen,ternary,order x delay,order,delay,0.0201,0.0398,25,,,,
permen,five,order x delay,order,delay,0.0207,0.0497,25,,,,
psd,binary,window x nperseg,window,nperseg,0.0015,0.0031,16,1.1877,0.3360416563718356,0.0917,False
psd,binary,window x overlap_ratio,window,overlap_ratio,0.0009,0.0015,12,0.2107,0.9711077172210525,0.0301,False
psd,binary,nperseg x overlap_ratio,nperseg,overlap_ratio,0.0014,0.0022,12,2.1313,0.07345603928885046,0.0804,False
psd,ternary,window x nperseg,window,nperseg,0.0014,0.0031,16,0.4303,0.9086915058925292,0.0989,False
psd,ternary,window x overlap_ratio,window,overlap_ratio,0.0007,0.0015,12,0.1892,0.9779260023866407,0.0274,False
psd,ternary,nperseg x overlap_ratio,nperseg,overlap_ratio,0.0022,0.004,12,2.3086,0.054778759632133675,0.2535,False
psd,five,window x nperseg,window,nperseg,0.0073,0.0202,16,2.3244,0.038328264026061404,0.1499,True
psd,five,window x overlap_ratio,window,overlap_ratio,0.0043,0.01,12,0.3673,0.8948310899597913,0.0529,False
psd,five,nperseg x overlap_ratio,nperseg,overlap_ratio,0.0022,0.0043,12,0.2216,0.9672698744088276,0.0131,False
sampen,binary,m x r_multiplier,m,r_multiplier,0.0126,0.0224,15,,,,
sampen,ternary,m x r_multiplier,m,r_multiplier,0.0254,0.0441,15,,,,
sampen,five,m x r_multiplier,m,r_multiplier,0.0187,0.0385,15,,,,
