feature,task,parameter,n_levels,marginal_range,eta_squared,f_statistic,p_value,best_level,worst_level
apen,binary,m,3,0.0513,0.3262,2.9043,0.09360887419596142,2.0,1.0
apen,binary,r_multiplier,5,0.04,0.1732,0.5237,0.7209560923270018,0.1,0.3
apen,ternary,m,3,0.126,0.792,22.8424,8.104413633421222e-05,1.0,3.0
apen,ternary,r_multiplier,5,0.0767,0.1651,0.4943,0.7405946010863174,0.3,0.1
apen,five,m,3,0.06,0.6182,9.7134,0.0030994380969344743,1.0,2.0
apen,five,r_multiplier,5,0.0207,0.05,0.1314,0.9672838874105935,0.3,0.1
dwt,binary,wavelet,9,0.005,0.4255,2.5,0.035678361028658144,db6,db4
dwt,binary,level,4,0.0015,0.0704,0.8075,0.49905287207600746,6.0,3.0
dwt,ternary,wavelet,9,0.0135,0.3718,1.9975,0.08564013658059597,coif3,coif1
dwt,ternary,level,4,0.008,0.2419,3.4042,0.029331796953290055,6.0,4.0
dwt,five,wavelet,9,0.028,0.398,2.2312,0.05689852381550967,coif3,coif1
dwt,five,level,4,0.0173,0.193,2.5517,0.0729404042503657,6.0,3.0
fuzzen,binary,m,3,0.0559,0.0807,1.0541,0.3640904261835072,3.0,2.0
fuzzen,binary,r_multiplier,3,0.0378,0.0341,0.4232,0.659720456747746,0.1,0.3
fuzzen,binary,n,3,0.1507,0.5889,17.1925,2.3276376649300855e-05,1.0,3.0
fuzzen,ternary,m,3,0.0793,0.5797,16.5485,3.0420996066711534e-05,1.0,2.0
fuzzen,ternary,r_multiplier,3,0.0044,0.0019,0.0226,0.9777106367531845,0.3,0.1
fuzzen,ternary,n,3,0.0298,0.0776,1.0093,0.379419067317699,1.0,3.0
fuzzen,five,m,3,0.0818,0.5299,13.5259,0.00011651968384172401,1.0,2.0
fuzzen,five,r_multiplier,3,0.0038,0.0013,0.0157,0.9844426531183471,0.2,0.1
fuzzen,five,n,3,0.0098,0.007,0.0844,0.9192920151128195,2.0,1.0
hjorth,binary,window_size_sec,6,0.01,,,,1.0,2.0
hjorth,ternary,window_size_sec,6,0.02,,,,1.0,5.0
hjorth,five,window_size_sec,6,0.038,,,,2.0,0.5
hurst,binary,method,3,0.2925,0.9459,78.615,1.9993995923353248e-06,rescaled_range,wavelet
hurst,binary,min_window,4,0.0522,0.031,0.0854,0.9660666579259022,32.0,8.0
hurst,ternary,method,3,0.1155,0.7751,15.5081,0.0012134838059788447,dfa,rescaled_range
hurst,ternary,min_window,4,0.052,0.1413,0.4389,0.7314391340901243,32.0,8.0
hurst,five,method,3,0.0995,0.7367,12.5908,0.00246616322003297,dfa,wavelet
hurst,five,min_window,4,0.0487,0.1739,0.5612,0.6554879643833513,16.0,8.0
lzc,binary,threshold,3,0.0433,0.4605,1.2803,0.3962841011907168,mean,zero
lzc,binary,multiscale,2,0.0156,0.079,0.3433,0.5894188938509263,False,True
lzc,ternary,threshold,3,0.034,0.4514,1.2341,0.406371660016809,mean,zero
lzc,ternary,multiscale,2,0.0147,0.0973,0.431,0.5473530406082768,False,True
lzc,five,threshold,3,0.031,0.2406,0.4752,0.6618085061618371,median,zero
lzc,five,multiscale,2,0.0373,0.5189,4.3136,0.10639255255536152,False,True
permen,binary,order,5,0.042,0.388,3.1698,0.035973847525458146,3.0,4.0
permen,binary,delay,5,0.0233,0.1285,0.7371,0.5776139883352882,2.0,3.0
permen,ternary,order,5,0.0492,0.0727,0.3921,0.8118042383510884,3.0,4.0
permen,ternary,delay,5,0.1668,0.8427,26.7824,8.753704698625083e-08,5.0,1.0
permen,five,order,5,0.0412,0.2086,1.3175,0.29754376486953127,7.0,4.0
permen,five,delay,5,0.0484,0.3503,2.6961,0.06032689889323592,5.0,2.0
psd,binary,window,4,0.0022,0.0265,0.3991,0.7542986390674914,blackman,rectangular
psd,binary,nperseg,4,0.0103,0.6074,22.6906,4.962628834729669e-09,128.0,64.0
psd,binary,overlap_ratio,3,0.0031,0.0858,2.1107,0.1329902250727976,0.25,0.5
psd,ternary,window,4,0.0027,0.0504,0.7781,0.5125154114275339,hamming,blackman
psd,ternary,nperseg,4,0.002,0.033,0.5002,0.6840511485647938,256.0,512.0
psd,ternary,overlap_ratio,3,0.0025,0.0545,1.2982,0.2830614082815121,0.25,0.5
psd,five,window,4,0.01,0.0363,0.552,0.649496797504475,hamming,rectangular
psd,five,nperseg,4,0.0377,0.5846,20.6389,1.689229591511243e-08,512.0,64.0
psd,five,overlap_ratio,3,0.0087,0.0462,1.0902,0.3448658642987978,0.5,0.25
sampen,binary,m,3,0.046,0.715,15.0504,0.0005362176195564375,3.0,1.0
sampen,binary,r_multiplier,5,0.0089,0.021,0.0536,0.9937555805527064,0.25,0.3
sampen,ternary,m,3,0.0524,0.3769,3.6299,0.05850161903378515,1.0,2.0
sampen,ternary,r_multiplier,5,0.0307,0.1072,0.3002,0.8712813668184286,0.3,0.2
sampen,five,m,3,0.0248,0.174,1.2638,0.3176265182416202,3.0,1.0
sampen,five,r_multiplier,5,0.0473,0.3543,1.3717,0.31110150635216527,0.15,0.25
