feature,task,model_1,model_2,spearman_rho,p_value,n_combos
lzc,binary,LightGBM,XGBoost,1.0,0.0,6
lzc,binary,LightGBM,RF,1.0,0.0,6
lzc,binary,XGBoost,RF,1.0,0.0,6
lzc,ternary,LightGBM,XGBoost,1.0,0.0,6
lzc,ternary,LightGBM,RF,0.9355,0.006109227619079556,6
lzc,ternary,XGBoost,RF,0.9355,0.006109227619079556,6
lzc,five,LightGBM,XGBoost,0.0323,0.9516296868181666,6
lzc,five,LightGBM,RF,0.0323,0.9516296868181666,6
lzc,five,XGBoost,RF,1.0,0.0,6
hurst,binary,LightGBM,XGBoost,0.8755,0.0001905877278490417,12
hurst,binary,LightGBM,RF,0.84,0.0006271637074739195,12
hurst,binary,XGBoost,RF,0.9854,5.142790973600139e-09,12
hurst,ternary,LightGBM,XGBoost,0.816,0.0012076921487312103,12
hurst,ternary,LightGBM,RF,0.8212,0.0010579041028603395,12
hurst,ternary,XGBoost,RF,0.9909,4.855617023689716e-10,12
hurst,five,LightGBM,XGBoost,0.9855,5.004139818406932e-09,12
hurst,five,LightGBM,RF,0.9435,4.109807455541425e-06,12
hurst,five,XGBoost,RF,0.9435,4.109807455541425e-06,12
sampen,binary,LightGBM,XGBoost,0.8584,4.2053863936491024e-05,15
sampen,binary,LightGBM,RF,0.8561,4.644893161798139e-05,15
sampen,binary,XGBoost,RF,0.947,8.830896999094318e-08,15
sampen,ternary,LightGBM,XGBoost,0.8262,0.00014716377878080911,15
sampen,ternary,LightGBM,RF,0.8336,0.00011275398027250065,15
sampen,ternary,XGBoost,RF,0.8658,3.022142946920341e-05,15
sampen,five,LightGBM,XGBoost,0.6664,0.006674395189450788,15
sampen,five,LightGBM,RF,0.2841,0.30488466713221546,15
sampen,five,XGBoost,RF,0.6142,0.014849197887120783,15
apen,binary,LightGBM,XGBoost,0.8097,0.0002544261720439789,15
apen,binary,LightGBM,RF,0.8311,0.0001235905054837271,15
apen,binary,XGBoost,RF,0.9821,8.252021316096454e-11,15
apen,ternary,LightGBM,XGBoost,0.9634,8.332711335055382e-09,15
apen,ternary,LightGBM,RF,0.9562,2.6088598168029665e-08,15
apen,ternary,XGBoost,RF,0.8891,9.295806858494858e-06,15
apen,five,LightGBM,XGBoost,0.7227,0.002335590153267209,15
apen,five,LightGBM,RF,0.4376,0.10286551975225271,15
apen,five,XGBoost,RF,0.5885,0.02100597515563146,15
permen,binary,LightGBM,XGBoost,0.4872,0.01351248237104683,25
permen,binary,LightGBM,RF,0.676,0.00020807355556679236,25
permen,binary,XGBoost,RF,0.8016,1.460512140593171e-06,25
permen,ternary,LightGBM,XGBoost,0.9621,1.7915692330538235e-14,25
permen,ternary,LightGBM,RF,0.929,2.0862962938731356e-11,25
permen,ternary,XGBoost,RF,0.9396,3.4290876447966185e-12,25
permen,five,LightGBM,XGBoost,0.8227,4.4729888016325634e-07,25
permen,five,LightGBM,RF,0.8268,3.495928474016689e-07,25
permen,five,XGBoost,RF,0.811,8.782196688044976e-07,25
fuzzen,binary,LightGBM,XGBoost,0.9529,1.8246084392307848e-14,27
fuzzen,binary,LightGBM,RF,0.8881,6.389829803067022e-10,27
fuzzen,binary,XGBoost,RF,0.9181,1.5204833096660127e-11,27
fuzzen,ternary,LightGBM,XGBoost,0.9447,1.3165864253186004e-13,27
fuzzen,ternary,LightGBM,RF,0.8228,1.3826139754676112e-07,27
fuzzen,ternary,XGBoost,RF,0.8321,7.447114338355859e-08,27
fuzzen,five,LightGBM,XGBoost,0.863,6.961711065386487e-09,27
fuzzen,five,LightGBM,RF,0.9035,1.1013188829039842e-10,27
fuzzen,five,XGBoost,RF,0.8503,1.9618474246495564e-08,27
hjorth,binary,LightGBM,XGBoost,-0.2828,0.5870496397870562,6
hjorth,binary,LightGBM,RF,0.2828,0.5870496397870562,6
hjorth,binary,XGBoost,RF,-1.0,0.0,6
hjorth,ternary,LightGBM,XGBoost,0.7701,0.07323512813170643,6
hjorth,ternary,LightGBM,RF,0.8986,0.014888622005580348,6
hjorth,ternary,XGBoost,RF,0.759,0.08014122805832381,6
hjorth,five,LightGBM,XGBoost,0.1029,0.8461336632403826,6
hjorth,five,LightGBM,RF,0.5508,0.2573693316225745,6
hjorth,five,XGBoost,RF,0.0,1.0,6
psd,binary,LightGBM,XGBoost,0.5092,0.00021915940691808565,48
psd,binary,LightGBM,RF,0.4715,0.0007174509952832275,48
psd,binary,XGBoost,RF,0.613,3.6257486041387944e-06,48
psd,ternary,LightGBM,XGBoost,0.4227,0.002760102704872615,48
psd,ternary,LightGBM,RF,0.1066,0.47072539445582484,48
psd,ternary,XGBoost,RF,0.2609,0.07326491245476942,48
psd,five,LightGBM,XGBoost,0.8545,1.1250407384486891e-14,48
psd,five,LightGBM,RF,0.8428,5.781396647340541e-14,48
psd,five,XGBoost,RF,0.82,1.0050638186284512e-12,48
dwt,binary,LightGBM,XGBoost,0.1388,0.41935252762095354,36
dwt,binary,LightGBM,RF,0.0411,0.8118708266084367,36
dwt,binary,XGBoost,RF,0.5817,0.00019841732462293026,36
dwt,ternary,LightGBM,XGBoost,0.7487,1.511468287402499e-07,36
dwt,ternary,LightGBM,RF,0.5107,0.001459564257282919,36
dwt,ternary,XGBoost,RF,0.5718,0.00026957006738222107,36
dwt,five,LightGBM,XGBoost,0.6653,9.545908702108727e-06,36
dwt,five,LightGBM,RF,0.7002,1.999327503988191e-06,36
dwt,five,XGBoost,RF,0.7148,9.709858599535922e-07,36
