feature,task,n_combos,acc_min,acc_max,acc_mean,acc_range,acc_std,cv_pct
apen,binary,15,0.83,0.95,0.8916,0.12,0.0389,4.36
apen,ternary,15,0.524,0.752,0.6376,0.228,0.0658,10.31
apen,five,15,0.36,0.486,0.4075,0.126,0.033,8.1
dwt,binary,36,0.9867,0.9967,0.9916,0.01,0.0023,0.23
dwt,ternary,36,0.956,0.978,0.9682,0.022,0.0061,0.63
dwt,five,36,0.824,0.894,0.8681,0.07,0.0142,1.64
fuzzen,binary,27,0.6633,0.9567,0.7848,0.2933,0.0869,11.07
fuzzen,ternary,27,0.622,0.766,0.6895,0.144,0.046,6.68
fuzzen,five,27,0.356,0.524,0.4302,0.168,0.0488,11.35
hjorth,binary,6,0.98,0.99,0.9861,0.01,0.0044,0.45
hjorth,ternary,6,0.946,0.966,0.955,0.02,0.0084,0.88
hjorth,five,6,0.778,0.816,0.8013,0.038,0.0132,1.65
hurst,binary,12,0.5267,0.9133,0.6769,0.3867,0.1353,19.99
hurst,ternary,12,0.522,0.712,0.6413,0.19,0.0601,9.37
hurst,five,12,0.354,0.48,0.4277,0.126,0.0496,11.6
lzc,binary,6,0.8233,0.91,0.8678,0.0867,0.0303,3.49
lzc,ternary,6,0.65,0.718,0.6873,0.068,0.0258,3.75
lzc,five,6,0.33,0.4,0.3487,0.07,0.0284,8.14
permen,binary,25,0.8233,0.9267,0.8579,0.1033,0.0243,2.84
permen,ternary,25,0.496,0.752,0.625,0.256,0.0705,11.29
permen,five,25,0.334,0.462,0.4027,0.128,0.0318,7.89
psd,binary,48,0.98,1.0,0.9927,0.02,0.0051,0.51
psd,ternary,48,0.956,0.976,0.9661,0.02,0.0044,0.46
psd,five,48,0.804,0.868,0.8403,0.064,0.019,2.26
sampen,binary,15,0.9,0.9767,0.9431,0.0767,0.0253,2.68
sampen,ternary,15,0.606,0.726,0.6707,0.12,0.0367,5.46
sampen,five,15,0.4,0.518,0.44,0.118,0.0281,6.39
