feature,task_1,task_2,n_shared_combos,spearman_rho,spearman_p,top_n,optimal_match_rate,best_t1_rank_in_t2,reliable
apen,binary,ternary,15,-0.5714,0.02606319337636288,5,0.0,15,True
apen,binary,five,15,-0.3557,0.1932372182773272,5,0.2,9,True
apen,ternary,five,15,0.6363,0.010768048610006093,5,0.8,1,True
dwt,binary,ternary,36,0.1667,0.331139588648265,5,0.2,21,True
dwt,binary,five,36,0.2092,0.2207711197733785,5,0.4,2,True
dwt,ternary,five,36,0.3575,0.0323129054097927,5,0.0,21,True
fuzzen,binary,ternary,27,0.4121,0.03270438608546748,5,0.0,8,True
fuzzen,binary,five,27,0.272,0.16982694505040108,5,0.0,16,True
fuzzen,ternary,five,27,0.8776,1.8570341044077822e-09,5,0.8,1,True
hjorth,binary,ternary,6,-0.2818,0.5884877581302955,5,0.8,1,False
hjorth,binary,five,6,-0.3131,0.5456804162715582,5,0.8,4,False
hjorth,ternary,five,6,-0.3676,0.4733758014451455,5,0.8,4,False
hurst,binary,ternary,12,-0.5829,0.04669579530577945,5,0.2,9,True
hurst,binary,five,12,0.4473,0.14486800845806425,5,0.4,6,True
hurst,ternary,five,12,0.255,0.4237639261423315,5,0.6,10,True
lzc,binary,ternary,6,1.0,0.0,5,1.0,1,False
lzc,binary,five,6,0.5484,0.2598771441039236,5,0.8,2,False
lzc,ternary,five,6,0.5484,0.2598771441039236,5,0.8,2,False
permen,binary,ternary,25,-0.0424,0.8406143452836985,5,0.6,1,True
permen,binary,five,25,-0.1912,0.3599742345954985,5,0.2,22,True
permen,ternary,five,25,0.5968,0.0016382580120632615,5,0.4,22,True
psd,binary,ternary,48,-0.0324,0.8269873259376486,5,0.0,45,True
psd,binary,five,48,0.2885,0.046747708469903386,5,0.2,22,True
psd,ternary,five,48,-0.1022,0.48947213145175594,5,0.0,37,True
sampen,binary,ternary,15,-0.1637,0.5599927607561285,5,0.2,3,True
sampen,binary,five,15,0.3246,0.23777201157530903,5,0.4,8,True
sampen,ternary,five,15,-0.2213,0.42793293325190207,5,0.2,7,True
